"Freq [GHz]","dB(St(Signal1_3_T2,Signal1_3_T1)) []"
4,-0.0113346071744381
4.00030001500075,-0.0113363985872067
4.0006000300015,-0.0113381901891865
4.00090004500225,-0.0113399819804144
4.001200060003,-0.0113417739609117
4.00150007500375,-0.0113435661307085
4.0018000900045,-0.0113453584898349
4.00210010500525,-0.0113471510383102
4.002400120006,-0.0113489437761694
4.00270013500675,-0.0113507367034395
4.0030001500075,-0.011352529820142
4.00330016500825,-0.0113543231263118
4.003600180009,-0.011356116621974
4.00390019500975,-0.0113579103071548
4.0042002100105,-0.0113597041818756
4.00450022501125,-0.011361498246181
4.004800240012,-0.0113632925000778
4.00510025501275,-0.0113650869436087
4.0054002700135,-0.0113668815767987
4.00570028501425,-0.0113686763996684
4.006000300015,-0.0113704714122498
4.00630031501575,-0.0113722666145708
4.0066003300165,-0.0113740620066607
4.00690034501725,-0.0113758575885417
4.007200360018,-0.0113776533602507
4.00750037501875,-0.0113794493218033
4.0078003900195,-0.0113812454732342
4.00810040502025,-0.0113830418145736
4.008400420021,-0.0113848383458409
4.00870043502175,-0.0113866350670748
4.0090004500225,-0.011388431978288
4.00930046502325,-0.0113902290795289
4.009600480024,-0.0113920263708024
4.00990049502475,-0.0113938238521541
4.0102005100255,-0.0113956215236005
4.01050052502625,-0.0113974193851696
4.010800540027,-0.0113992174368994
4.01110055502775,-0.0114010156788081
4.0114005700285,-0.0114028141109279
4.01170058502925,-0.0114046127332888
4.01200060003,-0.0114064115459092
4.01230061503075,-0.0114082105488192
4.0126006300315,-0.0114100097420594
4.01290064503225,-0.0114118091256436
4.013200660033,-0.0114136086996017
4.01350067503375,-0.0114154084639695
4.0138006900345,-0.0114172084187628
4.01410070503525,-0.0114190085640259
4.014400720036,-0.0114208088997668
4.01470073503675,-0.0114226094260242
4.0150007500375,-0.0114244101428348
4.01530076503825,-0.0114262110502057
4.015600780039,-0.0114280121481822
4.01590079503975,-0.0114298134367799
4.0162008100405,-0.0114316149160425
4.01650082504125,-0.0114334165859767
4.016800840042,-0.0114352184466282
4.01710085504275,-0.0114370204980153
4.0174008700435,-0.011438822740171
4.01770088504425,-0.0114406251731224
4.018000900045,-0.0114424277968939
4.01830091504575,-0.0114442306115193
4.0186009300465,-0.0114460336170191
4.01890094504725,-0.011447836813427
4.019200960048,-0.0114496402007743
4.01950097504875,-0.0114514437790812
4.0198009900495,-0.0114532475483769
4.02010100505025,-0.0114550515086903
4.020401020051,-0.0114568556600527
4.02070103505175,-0.0114586600024872
4.0210010500525,-0.0114604645360287
4.02130106505325,-0.0114622692607015
4.021601080054,-0.0114640741765288
4.02190109505475,-0.0114658792835408
4.0222011100555,-0.0114676845817791
4.02250112505625,-0.0114694900712563
4.022801140057,-0.0114712957520025
4.02310115505775,-0.0114731016240439
4.0234011700585,-0.011474907687426
4.02370118505925,-0.0114767139421508
4.02400120006,-0.0114785203882687
4.02430121506075,-0.0114803270257952
4.0246012300615,-0.0114821338547643
4.02490124506225,-0.0114839408751973
4.025201260063,-0.011485748087132
4.02550127506375,-0.0114875554905907
4.0258012900645,-0.0114893630856054
4.02610130506525,-0.0114911708721917
4.026401320066,-0.0114929788503932
4.02670133506675,-0.0114947870202369
4.0270013500675,-0.0114965953817405
4.02730136506825,-0.0114984039349445
4.027601380069,-0.0115002126798656
4.02790139506975,-0.0115020216165443
4.0282014100705,-0.0115038307449982
4.02850142507125,-0.0115056400652613
4.028801440072,-0.0115074495773635
4.02910145507275,-0.0115092592813242
4.0294014700735,-0.0115110691771795
4.02970148507425,-0.0115128792649563
4.030001500075,-0.0115146895446809
4.03030151507575,-0.0115165000163892
4.0306015300765,-0.0115183106801014
4.03090154507725,-0.0115201215358449
4.031201560078,-0.0115219325836564
4.03150157507875,-0.0115237438235543
4.0318015900795,-0.0115255552555698
4.03210160508025,-0.0115273668797414
4.032401620081,-0.0115291786960878
4.03270163508175,-0.0115309907046437
4.0330016500825,-0.01153280290542
4.03330166508325,-0.0115346152984669
4.033601680084,-0.0115364278838068
4.03390169508475,-0.0115382406614659
4.0342017100855,-0.0115400536314723
4.03450172508625,-0.0115418667938512
4.034801740087,-0.0115436801486366
4.03510175508775,-0.0115454936958546
4.0354017700885,-0.0115473074355295
4.03570178508925,-0.0115491213677058
4.03600180009,-0.0115509354923972
4.03630181509075,-0.0115527498096337
4.0366018300915,-0.0115545643194483
4.03690184509225,-0.0115563790218653
4.037201860093,-0.0115581939169214
4.03750187509375,-0.0115600090046312
4.0378018900945,-0.0115618242850355
4.03810190509525,-0.0115636397581585
4.03840192009601,-0.0115654554240273
4.03870193509676,-0.0115672712826769
4.03900195009751,-0.0115690873341373
4.03930196509825,-0.0115709035784221
4.039601980099,-0.011572720015571
4.03990199509976,-0.0115745366456122
4.04020201010051,-0.0115763534685738
4.04050202510126,-0.011578170484483
4.040802040102,-0.0115799876933726
4.04110205510275,-0.011581805095267
4.0414020701035,-0.0115836226901943
4.04170208510426,-0.0115854404781865
4.04200210010501,-0.0115872584592707
4.04230211510576,-0.011589076633477
4.04260213010651,-0.0115908950008325
4.04290214510726,-0.0115927135613654
4.04320216010801,-0.0115945323151125
4.04350217510876,-0.0115963512620941
4.04380219010951,-0.0115981704023365
4.04410220511026,-0.0115999897358765
4.04440222011101,-0.0116018092627394
4.04470223511175,-0.0116036289829541
4.04500225011251,-0.011605448896546
4.04530226511326,-0.011607269003547
4.04560228011401,-0.011609089303993
4.04590229511476,-0.0116109097979033
4.04620231011551,-0.0116127304853081
4.04650232511626,-0.0116145513662423
4.04680234011701,-0.0116163724407272
4.04710235511776,-0.0116181937087996
4.04740237011851,-0.0116200151704828
4.04770238511926,-0.0116218368258031
4.04800240012001,-0.0116236586747962
4.04830241512076,-0.0116254807174931
4.04860243012151,-0.0116273029539096
4.04890244512226,-0.0116291253840881
4.04920246012301,-0.01163094800805
