"Freq [GHz]","dB20(Zt(Signal1_3_T2,Signal1_3_T1)) []"
6,36.0679674139589
6.000100010001,36.0678659348291
6.000200020002,36.0677644592581
6.000300030003,36.0676629872461
6.000400040004,36.067561518793
6.000500050005,36.0674600538986
6.000600060006,36.0673585925629
6.000700070007,36.0672571347859
6.000800080008,36.0671556805675
6.000900090009,36.0670542299077
6.00100010001,36.0669527828063
6.001100110011,36.0668513392634
6.001200120012,36.0667498992788
6.001300130013,36.0666484628526
6.001400140014,36.0665470299846
6.001500150015,36.0664456006749
6.001600160016,36.0663441749232
6.001700170017,36.0662427527297
6.001800180018,36.0661413340941
6.001900190019,36.0660399190166
6.00200020002,36.0659385074969
6.002100210021,36.0658370995351
6.002200220022,36.0657356951311
6.002300230023,36.0656342942849
6.002400240024,36.0655328969963
6.002500250025,36.0654315032653
6.002600260026,36.0653301130919
6.002700270027,36.065228726476
6.002800280028,36.0651273434175
6.002900290029,36.0650259639164
6.00300030003,36.0649245879727
6.003100310031,36.0648232155862
6.003200320032,36.0647218467569
6.003300330033,36.0646204814848
6.003400340034,36.0645191197697
6.003500350035,36.0644177616118
6.003600360036,36.0643164070107
6.003700370037,36.0642150559666
6.003800380038,36.0641137084794
6.003900390039,36.064012364549
6.00400040004,36.0639110241753
6.004100410041,36.0638096873583
6.004200420042,36.0637083540979
6.004300430043,36.0636070243941
6.004400440044,36.0635056982468
6.004500450045,36.063404375656
6.004600460046,36.0633030566216
6.004700470047,36.0632017411435
6.00480048004801,36.0631004292216
6.004900490049,36.0629991208561
6.00500050005,36.0628978160466
6.00510051005101,36.0627965147933
6.005200520052,36.062695217096
6.00530053005301,36.0625939229547
6.00540054005401,36.0624926323694
6.005500550055,36.0623913453399
6.00560056005601,36.0622900618662
6.00570057005701,36.0621887819483
6.005800580058,36.0620875055861
6.00590059005901,36.0619862327795
6.00600060006001,36.0618849635285
6.00610061006101,36.0617836978331
6.00620062006201,36.0616824356931
6.00630063006301,36.0615811771085
6.00640064006401,36.0614799220792
6.00650065006501,36.0613786706052
6.00660066006601,36.0612774226865
6.00670067006701,36.061176178323
6.00680068006801,36.0610749375145
6.00690069006901,36.0609737002611
6.00700070007001,36.0608724665628
6.00710071007101,36.0607712364193
6.00720072007201,36.0606700098308
6.00730073007301,36.060568786797
6.00740074007401,36.0604675673181
6.00750075007501,36.0603663513938
6.00760076007601,36.0602651390242
6.00770077007701,36.0601639302092
6.00780078007801,36.0600627249487
6.00790079007901,36.0599615232427
6.00800080008001,36.0598603250911
6.00810081008101,36.0597591304939
6.00820082008201,36.0596579394509
6.00830083008301,36.0595567519623
6.00840084008401,36.0594555680277
6.00850085008501,36.0593543876474
6.00860086008601,36.0592532108211
6.00870087008701,36.0591520375487
6.00880088008801,36.0590508678304
6.00890089008901,36.0589497016659
6.00900090009001,36.0588485390553
6.00910091009101,36.0587473799985
6.00920092009201,36.0586462244953
6.00930093009301,36.0585450725459
6.00940094009401,36.05844392415
6.00950095009501,36.0583427793077
6.00960096009601,36.0582416380188
6.00970097009701,36.0581405002834
6.00980098009801,36.0580393661014
6.00990099009901,36.0579382354726
6.01000100010001,36.0578371083971
6.01010101010101,36.0577359848748
6.01020102010201,36.0576348649057
6.01030103010301,36.0575337484896
6.01040104010401,36.0574326356265
6.01050105010501,36.0573315263164
6.01060106010601,36.0572304205592
6.01070107010701,36.0571293183549
6.01080108010801,36.0570282197033
6.01090109010901,36.0569271246045
6.01100110011001,36.0568260330583
6.01110111011101,36.0567249450647
6.01120112011201,36.0566238606237
6.01130113011301,36.0565227797352
6.01140114011401,36.0564217023991
6.01150115011501,36.0563206286154
6.01160116011601,36.056219558384
6.01170117011701,36.0561184917049
6.01180118011801,36.056017428578
6.01190119011901,36.0559163690032
6.01200120012001,36.0558153129805
6.01210121012101,36.0557142605098
6.01220122012201,36.0556132115911
6.01230123012301,36.0555121662244
6.01240124012401,36.0554111244094
6.01250125012501,36.0553100861463
6.01260126012601,36.0552090514349
6.01270127012701,36.0551080202752
6.01280128012801,36.0550069926671
6.01290129012901,36.0549059686105
6.01300130013001,36.0548049481055
6.01310131013101,36.0547039311519
6.01320132013201,36.0546029177496
6.01330133013301,36.0545019078988
6.01340134013401,36.0544009015992
6.01350135013501,36.0542998988507
6.01360136013601,36.0541988996535
6.01370137013701,36.0540979040073
6.01380138013801,36.0539969119122
6.01390139013901,36.0538959233681
6.01400140014001,36.0537949383748
6.01410141014101,36.0536939569325
6.01420142014201,36.0535929790409
6.01430143014301,36.0534920047001
6.01440144014401,36.0533910339099
6.01450145014501,36.0532900666704
6.01460146014601,36.0531891029815
6.01470147014701,36.0530881428431
6.01480148014801,36.0529871862551
6.01490149014901,36.0528862332175
6.01500150015001,36.0527852837303
6.01510151015102,36.0526843377933
6.01520152015202,36.0525833954066
6.01530153015301,36.05248245657
6.01540154015402,36.0523815212835
6.01550155015502,36.052280589547
6.01560156015602,36.0521796613606
6.01570157015702,36.052078736724
6.01580158015802,36.0519778156374
6.01590159015902,36.0518768981005
6.01600160016002,36.0517759841134
6.01610161016102,36.051675073676
6.01620162016202,36.0515741667883
6.01630163016302,36.0514732634501
6.01640164016402,36.0513723636614
6.01650165016502,36.0512714674222
6.01660166016602,36.0511705747324
6.01670167016702,36.0510696855919
6.01680168016802,36.0509688000007
6.01690169016902,36.0508679179587
6.01700170017002,36.0507670394659
6.01710171017102,36.0506661645223
6.01720172017202,36.0505652931276
6.01730173017302,36.050464425282
6.01740174017402,36.0503635609853
6.01750175017502,36.0502627002374
