"Freq [GHz]","dB(St(Signal1_3_T2,Signal1_3_T1)) []"
6,-0.0303675168878974
6.000100010001,-0.0303690895882564
6.000200020002,-0.0303706623955423
6.000300030003,-0.0303722353097764
6.000400040004,-0.0303738083309646
6.000500050005,-0.0303753814591203
6.000600060006,-0.0303769546942603
6.000700070007,-0.0303785280363854
6.000800080008,-0.0303801014855113
6.000900090009,-0.0303816750416486
6.00100010001,-0.0303832487048178
6.001100110011,-0.0303848224750207
6.001200120012,-0.0303863963522633
6.001300130013,-0.0303879703365641
6.001400140014,-0.0303895444279375
6.001500150015,-0.0303911186263914
6.001600160016,-0.0303926929319355
6.001700170017,-0.0303942673445854
6.001800180018,-0.030395841864347
6.001900190019,-0.0303974164912328
6.00200020002,-0.0303989912252546
6.002100210021,-0.0304005660664268
6.002200220022,-0.0304021410147565
6.002300230023,-0.0304037160702561
6.002400240024,-0.0304052912329383
6.002500250025,-0.0304068665028129
6.002600260026,-0.0304084418798934
6.002700270027,-0.030410017364182
6.002800280028,-0.0304115929557085
6.002900290029,-0.0304131686544673
6.00300030003,-0.0304147444604768
6.003100310031,-0.0304163203737487
6.003200320032,-0.0304178963942937
6.003300330033,-0.0304194725221167
6.003400340034,-0.0304210487572351
6.003500350035,-0.0304226250996588
6.003600360036,-0.0304242015494031
6.003700370037,-0.030425778106478
6.003800380038,-0.0304273547708882
6.003900390039,-0.0304289315426503
6.00400040004,-0.030430508421776
6.004100410041,-0.0304320854082749
6.004200420042,-0.0304336625021617
6.004300430043,-0.0304352397034432
6.004400440044,-0.0304368170121301
6.004500450045,-0.030438394428237
6.004600460046,-0.0304399719517804
6.004700470047,-0.0304415495827545
6.00480048004801,-0.0304431273211932
6.004900490049,-0.030444705167087
6.00500050005,-0.030446283120462
6.00510051005101,-0.0304478611813193
6.005200520052,-0.0304494393496821
6.00530053005301,-0.0304510176255505
6.00540054005401,-0.030452596008944
6.005500550055,-0.0304541744998605
6.00560056005601,-0.0304557530983322
6.00570057005701,-0.0304573318043533
6.005800580058,-0.0304589106179422
6.00590059005901,-0.0304604895391087
6.00600060006001,-0.0304620685678595
6.00610061006101,-0.0304636477042151
6.00620062006201,-0.0304652269481891
6.00630063006301,-0.0304668062997748
