4000000000;-18.11119414;-96.00603848
4000200000;-18.11201811;-101.7933562
4000400000;-18.1121056;-107.5772098
4000600000;-18.11146263;-113.3619274
4000800000;-18.11119755;-119.1478923
4001000000;-18.1110172;-124.9352586
4001200000;-18.11076591;-130.7217159
4001400000;-18.11035089;-136.5082071
4001600000;-18.10976605;-142.2980045
4001800000;-18.10911061;-148.0855064
4002000000;-18.1083335;-153.8734794
4002200000;-18.10784056;-159.665012
4002400000;-18.10648656;-165.4582804
4002600000;-18.10541057;-171.2472546
4002800000;-18.10441262;-177.041626
4003000000;-18.10328734;177.1642297
4003200000;-18.10370363;171.3711284
4003400000;-18.10248092;165.574022
4003600000;-18.10205279;159.7769593
4003800000;-18.10119165;153.9825564
4004000000;-18.09971753;148.1816004
4004200000;-18.09871183;142.385324
4004400000;-18.09907495;136.5853569
4004600000;-18.09838497;130.783053
4004800000;-18.09761097;124.9798601
4005000000;-18.09723899;119.1783585
4005200000;-18.09677923;113.3738127
4005400000;-18.09635561;107.5694611
4005600000;-18.09656145;101.765223
4005800000;-18.09591211;95.95892669
4006000000;-18.09628575;90.15540111
4006200000;-18.09594504;84.34848084
4006400000;-18.09709351;78.54413114
4006600000;-18.09801103;72.73635534
4006800000;-18.09819588;66.93043397
4007000000;-18.09949882;61.12570921
4007200000;-18.10015405;55.31732015
4007400000;-18.10151657;49.51162932
4007600000;-18.10319625;43.706472
4007800000;-18.10445362;37.89841992
4008000000;-18.10635323;32.09300094
4008200000;-18.10789596;26.28541427
4008400000;-18.10967674;20.48174457
4008600000;-18.11169399;14.67515052
4008800000;-18.11359385;8.871022904
4009000000;-18.11574843;3.066003099
4009200000;-18.11835816;-2.738078801
4009400000;-18.12067025;-8.539904543
4009600000;-18.12226184;-14.34401151
4009800000;-18.12533437;-20.14576251
4010000000;-18.12742044;-25.94794407
4010200000;-18.13026896;-31.74719782
4010400000;-18.13262999;-37.54738872
4010600000;-18.13489962;-43.34822413
4010800000;-18.13852586;-49.14511652
4011000000;-18.14099537;-54.94550238
4011200000;-18.1437826;-60.74198412
4011400000;-18.14667242;-66.53932134
4011600000;-18.15004643;-72.33433905
4011800000;-18.1532694;-78.13090194
4012000000;-18.15583032;-83.92584399
4012200000;-18.15911207;-89.71934879
4012400000;-18.16131196;-95.51626011
4012600000;-18.16420605;-101.3080898
4012800000;-18.16606481;-107.1037475
4013000000;-18.16870864;-112.8959171
4013200000;-18.17139667;-118.6903295
4013400000;-18.17345264;-124.483841
4013600000;-18.17570508;-130.2754761
4013800000;-18.1780428;-136.067199
4014000000;-18.18017274;-141.8605999
4014200000;-18.18220339;-147.6539908
4014400000;-18.18517529;-153.4448139
4014600000;-18.18729811;-159.2380106
4014800000;-18.19034721;-165.0299207
4015000000;-18.19255088;-170.8232687
4015200000;-18.19458399;-176.6152724
4015400000;-18.19703272;177.5916578
4015600000;-18.19956897;171.7974793
4015800000;-18.20139915;166.0043163
4016000000;-18.20412583;160.209523
4016200000;-18.20582916;154.4159312
4016400000;-18.20807714;148.6204945
4016600000;-18.21000351;142.8273709
4016800000;-18.21258218;137.0316743
4017000000;-18.21474517;131.2366712
4017200000;-18.21723446;125.4428317
4017400000;-18.21959665;119.6460975
4017600000;-18.22187351;113.8512223
4017800000;-18.22443943;108.0558518
4018000000;-18.22696922;102.2581606
4018200000;-18.22939744;96.46191934
4018400000;-18.23190618;90.66477883
4018600000;-18.23523925;84.87084212
4018800000;-18.23842319;79.07596347
4019000000;-18.24152856;73.27781227
4019200000;-18.24401183;67.48128277
4019400000;-18.24778002;61.68752425
4019600000;-18.25110757;55.89230122
4019800000;-18.25438458;50.09522329
4020000000;-18.25780948;44.30176722
4020200000;-18.26127598;38.50891403
4020400000;-18.26516034;32.71332159
4020600000;-18.26845909;26.91780746
4020800000;-18.27241079;21.1249528
4021000000;-18.27633165;15.33086304
4021200000;-18.2791148;9.538076856
4021400000;-18.28345559;3.747744968
4021600000;-18.28728008;-2.043984517
4021800000;-18.29160326;-7.83304979
4022000000;-18.29616764;-13.62293193
4022200000;-18.29990168;-19.41237897
4022400000;-18.30420726;-25.19839646
4022600000;-18.3085374;-30.98615559
4022800000;-18.31211702;-36.77348908
4023000000;-18.31643408;-42.55817341
4023200000;-18.32122286;-48.34315145
4023400000;-18.32463451;-54.12573068
4023600000;-18.32864135;-59.91135479
4023800000;-18.33263512;-65.69242216
4024000000;-18.33717509;-71.47404147
4024200000;-18.34135026;-77.25729046
4024400000;-18.34516289;-83.03689595
4024600000;-18.34875312;-88.81853973
4024800000;-18.35241808;-94.59819652
4025000000;-18.35620523;-100.375303
4025200000;-18.36009375;-106.154357
4025400000;-18.36375067;-111.9315542
4025600000;-18.36696222;-117.7079234
4025800000;-18.36992977;-123.4871071
4026000000;-18.3726529;-129.2659894
4026200000;-18.37598463;-135.0422689
4026400000;-18.37975094;-140.8162865
4026600000;-18.38240241;-146.5919478
4026800000;-18.38570001;-152.3685636
4027000000;-18.38851457;-158.145634
4027200000;-18.39161349;-163.9209125
4027400000;-18.39400321;-169.6953835
4027600000;-18.39692554;-175.4735024
4027800000;-18.39913688;178.7505945
4028000000;-18.40180614;172.9738102
4028200000;-18.40343807;167.1936501
4028400000;-18.40573925;161.4186892
4028600000;-18.40818794;155.6411088
4028800000;-18.40965169;149.863036
4029000000;-18.41166258;144.0839456
4029200000;-18.41305117;138.3048072
4029400000;-18.41568325;132.5235907
4029600000;-18.41719585;126.7446259
4029800000;-18.41931628;120.9658428
4030000000;-18.42093372;115.1824115
4030200000;-18.42282729;109.402863
