f Amp Fase
8900000000.0 -11.767423898248929 -72.1599135984
8900010001.0001 -11.731101841551471 -72.4810294946
8900020002.0002 -11.760428718873229 -72.6662611659
8900030003.0003 -11.759000831351393 -72.8074048815
8900040004.0004 -11.779972503675172 -73.1144595061
8900050005.0005 -11.755234009640116 -73.2780711073
8900060006.0006 -11.78750126839952 -73.3817740653
8900070007.0007 -11.780779986323779 -73.5732493258
8900080008.0008 -11.777294357628561 -73.985016307
8900090009.0009 -11.798992090064539 -74.2382595525
8900100010.001 -11.773368093941556 -74.9755379752
8900110011.0011 -11.774416784595692 -74.5945718675
8900120012.0012 -11.782583748651696 -75.1067315018
8900130013.0013 -11.776808706044156 -75.1603663269
8900140014.0014 -11.739404151783205 -75.5394509319
8900150015.001501 -11.755684081770116 -75.8331439314
8900160016.0016 -11.764222885913503 -76.34573617
8900170017.0017 -11.73502452160415 -76.3639961814
8900180018.0018 -11.760184316960949 -76.1455349482
8900190019.0019 -11.768393234581113 -76.8545971444
8900200020.002 -11.781261639050616 -77.0576085204
8900210021.0021 -11.772401288824032 -77.3864987757
8900220022.002201 -11.765174027625216 -77.7102120935
8900230023.0023 -11.771143925387282 -77.8872207238
8900240024.0024 -11.792517557416948 -78.0844215626
8900250025.0025 -11.752221879499473 -78.1860277956
8900260026.0026 -11.780561195399144 -78.9979765718
8900270027.0027 -11.773204700561543 -78.8745956645
8900280028.0028 -11.768755809868978 -79.1080179553
8900290029.002901 -11.732921620106048 -79.4060625439
8900300030.003 -11.767965868358392 -78.8664665589
8900310031.0031 -11.751657699503715 -79.653456784
8900320032.0032 -11.749194198107526 -80.1076672484
8900330033.0033 -11.739755754186127 -79.6994624925
8900340034.0034 -11.77409775304994 -80.470838614
8900350035.0035 -11.774027532980313 -80.904937345
8900360036.003601 -11.753066586843195 -80.9469336281
8900370037.0037 -11.740146965978145 -81.203656366
8900380038.0038 -11.776261232155898 -81.2479000637
8900390039.0039 -11.744237210874264 -81.4583831983
8900400040.004 -11.771518519657807 -82.1280571535
8900410041.0041 -11.773596168470945 -82.1939364719
8900420042.0042 -11.759969081468032 -82.5111186479
8900430043.004301 -11.7525736005215 -82.6204815851
8900440044.0044 -11.759786475531708 -83.1427262562
8900450045.004501 -11.760611154247677 -83.1578960879
8900460046.0046 -11.776858375543567 -83.4852914478
8900470047.0047 -11.752135913520076 -83.3928357346
8900480048.0048 -11.740658882553529 -83.7732205781
8900490049.0049 -11.76437826937744 -84.1137433962
8900500050.005001 -11.752460811378926 -84.252918856
8900510051.0051 -11.77576300245645 -84.6717002275
8900520052.005201 -11.73252354983208 -84.5331343218
8900530053.0053 -11.759103813911198 -85.2216796554
8900540054.0054 -11.769770083567222 -85.4182194331
