f Amp Fase
7850000000.0 -18.16119196658856 -92.5045068337
7850025002.50025 -18.19856253584129 -93.87552559
7850050005.0005 -18.238728517869603 -93.7571457765
7850075007.500751 -18.193656769124715 -94.1426510079
7850100010.001 -18.039965241884275 -94.6813042243
7850125012.50125 -18.128467101265162 -94.6339424024
7850150015.0015 -18.173594398931368 -97.3619658583
7850175017.50175 -18.168102222225855 -98.0660603761
7850200020.002 -18.108023229359734 -97.815829602
7850225022.502251 -18.124812068318146 -97.3998034062
7850250025.002501 -18.179329860163833 -98.6799702583
7850275027.50275 -18.0685833036052 -99.3607653016
7850300030.003 -18.12090268116541 -99.1761297373
7850325032.50325 -18.12797205838854 -100.516982227
7850350035.0035 -18.174548983738607 -101.583843821
7850375037.503751 -18.101683005510143 -101.567365966
7850400040.004001 -18.117988035965954 -103.032170676
7850425042.504251 -18.061666719630328 -102.364492568
7850450045.0045 -18.22826787892837 -104.055367832
7850475047.50475 -18.103355938414392 -105.498226926
7850500050.005 -18.27970998081203 -104.335290526
7850525052.505251 -18.10645899326541 -105.433082793
7850550055.005501 -18.112275828696045 -107.386341959
7850575057.505751 -18.128417661022514 -106.898546989
7850600060.0060005 -18.067361613577074 -108.104482102
7850625062.50625 -18.108128212488953 -108.37179653
7850650065.0065 -18.111489403451902 -108.497342194
7850675067.506751 -18.10680351916607 -109.684690445
7850700070.007001 -18.14273575810104 -109.122991188
7850725072.507251 -18.144131418353787 -111.168271063
7850750075.007501 -18.142608586048016 -112.232394575
7850775077.5077505 -18.141726068404452 -112.131233961
7850800080.008 -18.123479994221668 -111.674871977
7850825082.508251 -18.091229167230313 -111.748886665
7850850085.008501 -18.192482408016737 -113.724868744
7850875087.508751 -18.150119053278857 -114.092365024
7850900090.009001 -18.14434877864041 -114.117755109
7850925092.509251 -18.040174136758914 -116.516135223
7850950095.0095005 -18.079383735276483 -115.631871702
7850975097.509751 -18.275458138460884 -116.757334266
7851000100.010001 -18.164369470584063 -116.6568819
7851025102.510251 -18.129123552664684 -116.314599576
7851050105.010501 -18.050484781438744 -118.579563818
7851075107.510751 -18.14386296881895 -118.529878322
7851100110.011001 -18.042660841628393 -119.865149791
7851125112.511251 -18.175211680719073 -120.336089405
7851150115.011501 -18.07823181138338 -118.890851958
7851175117.511751 -18.165775015390988 -120.983116656
7851200120.012001 -18.178409845857203 -120.768907311
7851225122.512251 -18.13642101986037 -122.775969525
7851250125.012502 -18.052782139619513 -122.454175875
7851275127.512752 -18.144245111845013 -123.3642796
7851300130.013001 -17.996291579600705 -123.78155082
7851325132.513251 -18.08158132124891 -124.302311141
7851350135.013501 -18.10360858743377 -126.452168594
7851375137.513751 -18.06332754928536 -126.105889973
7851400140.014002 -18.142812070369825 -127.794979023
7851425142.514252 -18.155751257932668 -125.92322827
7851450145.014502 -18.081620787157128 -126.3523316
7851475147.514751 -18.0320849575723 -128.059890678
7851500150.015001 -18.19472200785443 -129.87212487
7851525152.515251 -18.190602719573292 -129.497935837
7851550155.015502 -18.049743509528664 -130.543115859
7851575157.515752 -18.08453712813526 -129.922099148
7851600160.016002 -18.1077779360185 -132.724683272
7851625162.516252 -18.07992713165876 -132.791877478
7851650165.016501 -18.17170433770546 -132.484783359
7851675167.516751 -18.14042703446219 -132.479298096
7851700170.017002 -18.091569865900443 -134.037793731
7851725172.517252 -18.13445064286483 -134.951209988
7851750175.017502 -18.085699385666484 -134.497488579
7851775177.517752 -18.066431696821876 -135.583218867
7851800180.018002 -18.092827819884768 -136.331931372
7851825182.518251 -18.061170547303618 -136.349229299
7851850185.018502 -18.126866159744875 -139.323944899
7851875187.518752 -18.116906639457422 -138.129565654
7851900190.019002 -18.077923466209104 -138.655719955
7851925192.519252 -18.12211738690426 -137.370400429
7851950195.019502 -18.118626709264134 -139.739280253
7851975197.519752 -18.085081167534042 -141.392408638
7852000200.020002 -18.0857026633239 -141.598128483
7852025202.520252 -18.209771864068017 -143.003867154
7852050205.020502 -18.086263931726613 -142.161634597
7852075207.520752 -18.021625847233956 -142.634469641
7852100210.021002 -18.191429198958275 -143.600677767
7852125212.521252 -18.03931962696936 -142.157034335
7852150215.0215025 -18.13176895705557 -144.198524196
7852175217.521752 -18.144070206250547 -144.98474957
7852200220.022002 -18.092260053669545 -147.867105242
7852225222.522252 -18.114736484416927 -146.691507671
7852250225.022502 -18.133481993374396 -148.28302073
7852275227.522752 -18.053004406854917 -148.32098028
7852300230.023003 -18.20771207829937 -148.978055396
7852325232.5232525 -18.186283415632673 -149.27733387
7852350235.023502 -18.180711504808354 -149.83103802
7852375237.523752 -18.029448155814688 -149.788475471
7852400240.024002 -18.230969976586817 -150.962227121
7852425242.524253 -18.082420078316524 -151.63162185
7852450245.024503 -18.105251465862867 -151.792528275
7852475247.524753 -18.111608442105414 -152.202494382
7852500250.0250025 -18.094396498034428 -153.341795028
7852525252.525252 -18.09491300000171 -153.400720618
7852550255.025502 -18.02244800362735 -153.069550175
7852575257.525753 -18.059472763537737 -155.476522352
7852600260.026003 -18.12534302401672 -155.479002916
7852625262.526253 -18.149999589732978 -155.740172442
7852650265.026503 -18.09449254163542 -157.611643023
7852675267.526752 -18.088416029142287 -157.120782941
7852700270.027002 -18.173372491233074 -159.519569358
7852725272.527253 -18.127933209367118 -158.707704373
7852750275.027503 -18.102827880954344 -160.799282414
7852775277.527753 -18.051032985534633 -159.465015728
7852800280.028003 -18.132850384603053 -161.606102928
7852825282.528253 -18.107687136291243 -162.394305834
7852850285.028502 -18.07610093873714 -162.160608884
7852875287.528753 -18.06902896218435 -161.620676176
7852900290.029003 -18.13591555287865 -162.784905295
7852925292.529253 -18.078409781186984 -164.43885235
7852950295.029503 -18.169030691575117 -165.211213934
7852975297.529753 -18.092824787504853 -163.995701578
7853000300.030003 -18.136233747745006 -166.114314795
7853025302.530253 -18.117292083210028 -166.450417264
7853050305.030503 -18.091155606886726 -164.178056635
7853075307.530753 -18.08965269244063 -167.083161055
7853100310.031003 -18.136807032416435 -168.554104182
7853125312.531253 -18.088841464702774 -168.44913351
7853150315.031503 -18.175230478738108 -169.90312969
7853175317.531754 -18.0879258636713 -170.291345671
7853200320.032003 -18.106238644700255 -169.7779517
7853225322.532253 -18.057967349970532 -171.515492065
7853250325.032503 -18.04913459577677 -171.604702158
7853275327.532753 -18.053313750236974 -173.588757945
7853300330.033003 -18.04929158609688 -172.371694897
7853325332.533254 -18.110608746255515 -175.091432659
7853350335.033504 -18.17719392979461 -174.588153304
7853375337.533753 -18.03349597686643 -175.961155003
7853400340.034003 -18.056198161293892 -175.456490407
7853425342.534253 -17.97730824871236 -175.532547749
7853450345.034503 -18.09803668552135 -176.921069855
7853475347.534754 -18.03012279061128 -177.935033812
7853500350.035004 -18.06834997409578 -177.82193058
7853525352.535254 -18.021703722543705 -177.436595321
7853550355.035503 -18.18008245292576 -178.250601713
7853575357.535753 -18.021611236732657 -179.759060611
7853600360.036004 -18.043467243693684 -178.988420328
7853625362.536254 -18.166316097285392 179.211508796
7853650365.036504 -18.160084237674372 179.573181733
7853675367.536754 -18.11374070849611 179.367244127
7853700370.0370035 -18.09012552042648 177.784267436
7853725372.537253 -18.111459282464804 175.864546512
7853750375.037504 -18.191212825696933 175.579646884
7853775377.537754 -18.032593842926815 175.190955762
7853800380.038004 -18.147169968632948 175.066688039
7853825382.538254 -18.023821601722737 175.444374629
7853850385.038504 -17.994086437455763 173.251606568
7853875387.5387535 -18.182736050057528 171.646215303
7853900390.039004 -18.113068650251847 173.871716215
7853925392.539254 -18.108167461419814 172.780712966
7853950395.039504 -18.0292624764857 171.32663336
7853975397.539754 -18.104143013683807 170.983862747
7854000400.040004 -18.130509122273175 169.079327595
7854025402.540254 -18.174362370374407 170.999401244
7854050405.040504 -18.142306928806878 169.540441219
7854075407.540754 -18.09514851071458 167.955285607
7854100410.041004 -18.13999742672065 166.658210616
7854125412.541254 -18.077252988237895 166.599265613
7854150415.041504 -18.10341083232083 166.797018811
7854175417.541754 -18.109372188525253 165.483191315
7854200420.042005 -17.999524474825456 164.659601966
7854225422.542254 -18.087141077142867 163.495579142
7854250425.042504 -18.045777744943297 163.876661509
7854275427.542754 -18.107188065426403 164.144376352
7854300430.043004 -18.05258146765369 164.229383741
7854325432.543254 -17.92481053447942 162.189454946
7854350435.043505 -18.108056429899293 163.377073689
7854375437.543755 -18.108995391327962 161.154866025
7854400440.044004 -18.024881513209408 160.03400125
7854425442.544254 -18.173849464437094 159.292917869
7854450445.044504 -18.111679988661873 158.801734063
7854475447.544754 -18.12827937542434 158.639635839
7854500450.045005 -18.078622970318968 157.868786228
7854525452.545255 -18.073423554430985 157.426195789
7854550455.045505 -18.06261275727992 157.425543977
7854575457.545754 -18.13881048492844 156.545178949
7854600460.046004 -18.06263341971671 155.834237798
7854625462.546254 -18.083936194936072 153.937906223
7854650465.046505 -18.045192052003163 154.842205151
7854675467.546755 -18.045900855114674 153.424422695
7854700470.047005 -18.128634256010056 153.709925472
7854725472.547255 -18.113316735038577 151.736051144
