f Amp Fase
8000000000.0 -25.0175971665439 111.502211352
8000200020.002 -24.773761158804565 96.5208005032
8000400040.004001 -24.275179674299643 92.5573786032
8000600060.0060005 -24.14418640812077 90.2719163287
8000800080.008 -23.744387492816976 84.4117794632
8001000100.010001 -24.100544140769223 71.3505473386
8001200120.012001 -24.2102614977758 67.8388244717
8001400140.014002 -24.32361012134664 61.8410076923
8001600160.016002 -23.981614048830355 52.7162130903
8001800180.018002 -24.30840878367707 50.7229468444
8002000200.020002 -23.991641054319768 47.1918914625
8002200220.022002 -23.561713548396206 38.389306349
8002400240.024002 -23.635738772423984 31.5182847511
8002600260.026003 -23.867004659500868 26.0966924311
8002800280.028003 -23.53515906966925 15.5265784535
8003000300.030003 -23.56793853361415 11.3014349007
8003200320.032003 -23.25023090237728 4.92951956001
8003400340.034003 -23.038439328054444 -0.476226838326
8003600360.036004 -22.849539951076533 -3.39066324088
8003800380.038004 -22.956695500275636 -9.06057776106
8004000400.040004 -23.074886651890157 -17.3734924406
8004200420.042005 -22.596501565248204 -25.3356542141
8004400440.044004 -22.686623441532564 -26.9463307307
8004600460.046004 -22.84212797088719 -34.6416242293
8004800480.048005 -22.336580118694727 -40.6703474629
8005000500.050005 -22.373750900947563 -45.7839738702
8005200520.052005 -22.19153356644762 -51.234271858
8005400540.054006 -22.226667413525796 -57.0654847238
8005600560.0560055 -21.932884686612553 -62.2533828546
8005800580.058005 -21.818615827276467 -67.9669444995
8006000600.060006 -21.903719871454843 -75.9858197956
8006200620.062006 -21.718194968368728 -78.793136593
8006400640.064007 -21.708376172187332 -85.198263457
8006600660.066007 -21.622685837004056 -89.9045648017
8006800680.0680065 -21.59489838305138 -96.3588174319
8007000700.070007 -21.51223003398098 -102.899568032
8007200720.072007 -21.097693924443085 -104.871302738
8007400740.074007 -21.29469692242099 -113.1610324
8007600760.076008 -21.1589890061494 -119.348122168
8007800780.078008 -21.241480963229225 -125.813954933
8008000800.080008 -21.065899642708747 -130.621579763
8008200820.082008 -21.248965939822916 -134.432469722
8008400840.084008 -20.946255435188206 -138.712282932
8008600860.086009 -20.874257388678426 -147.332921235
8008800880.088009 -20.866115754722443 -151.764626602
8009000900.090009 -20.56316534113625 -158.127409771
8009200920.09201 -20.626474468638026 -161.966166035
8009400940.094009 -20.6759225419052 -167.46921067
8009600960.096009 -20.38662734586611 -172.213598703
8009800980.09801 -20.322397979398026 -179.366753997
8010001000.10001 -20.362155674098364 176.276276566
8010201020.10201 -20.233592782335073 169.475143636
8010401040.104011 -19.972798419473406 167.339696094
8010601060.10601 -20.083467301324028 161.019198271
8010801080.108011 -20.07649558439814 154.155773896
8011001100.110011 -19.866046690095153 147.558611038
8011201120.112011 -19.956551666242685 144.60542455
8011401140.114012 -19.739498551708504 137.727845969
8011601160.116012 -19.663429079552685 132.665669742
8011801180.118011 -19.778913237223062 128.046123581
8012001200.120012 -19.58232918494475 121.802154241
8012201220.122012 -19.382834572009095 117.683880572
8012401240.124012 -19.407181639024277 112.514833949
8012601260.126013 -19.272245498055483 107.891364478
8012801280.128013 -19.134329777545798 100.149993965
8013001300.130013 -19.177035841335265 97.1132913367
8013201320.132013 -19.162930125826538 89.3020549362
8013401340.134013 -18.94117002316903 85.4035373114
8013601360.136014 -19.013511114765514 80.566383716
8013801380.138014 -18.97551548003834 73.1477222629
8014001400.140014 -18.872283008525667 69.9505047059
8014201420.1420145 -18.660968006425435 63.2457758245
8014401440.144014 -18.702768526324938 57.4373779322
8014601460.146014 -18.696158676761627 52.578725425
8014801480.148015 -18.544240748591776 47.4794681617
8015001500.150015 -18.563598279763568 41.409835434
8015201520.152015 -18.4326403900223 37.0106504597
8015401540.154016 -18.395906822560693 29.6521224166
8015601560.156015 -18.252157862986945 25.2340082986
8015801580.158016 -18.23208971114686 20.3224526832
8016001600.160016 -18.222220723541344 14.3280375524
8016201620.162016 -18.12550977156859 9.38037287875
8016401640.164017 -18.02330826001652 3.3096042002
8016601660.166017 -17.99814297367663 -1.56538370879
8016801680.168016 -18.055282596531566 -6.19267925429
8017001700.170017 -17.859508736682265 -11.7833900927
8017201720.172017 -17.833022272961497 -18.3290593625
8017401740.174017 -17.672087645558932 -23.6189883284
8017601760.176018 -17.69249170856189 -29.4886514784
8017801780.178018 -17.720996175124284 -34.0929953577
8018001800.180018 -17.56882650286817 -39.997240389
8018201820.182018 -17.593641345605263 -43.824746171
8018401840.184018 -17.5031016111916 -50.2820067191
8018601860.186019 -17.43960315627098 -56.1447348291
8018801880.188019 -17.38582717516171 -61.3715709966
8019001900.190019 -17.350529375450197 -66.3130477225
8019201920.192019 -17.28824200333625 -71.3657962594
8019401940.194019 -17.171532006414687 -77.8874756411
8019601960.196019 -17.203266206172042 -81.9033200523
8019801980.19802 -17.118199210943192 -88.3875675854
8020002000.20002 -17.081238658854165 -93.5459625863
8020202020.202021 -17.01805898230923 -100.066807348
8020402040.2040205 -16.994770536801823 -104.271870103
8020602060.20602 -16.951533195952777 -109.918128884
8020802080.208021 -16.87134826168469 -115.494255635
8021002100.210021 -16.797385652658942 -120.758778131
8021202120.212021 -16.79976062010477 -126.219076942
8021402140.214022 -16.80470117562201 -132.130509163
8021602160.216022 -16.719303332691112 -137.282737344
8021802180.218021 -16.636060051409018 -141.699378192
8022002200.220022 -16.59559222773394 -148.030196279
8022202220.222022 -16.605161255385497 -153.675118783
8022402240.224023 -16.585121688005064 -158.543213596
8022602260.226023 -16.521974317556428 -163.6237753
8022802280.228023 -16.53287691431743 -169.387142564
8023002300.230023 -16.455329439693315 -175.127084358
8023202320.232023 -16.444436806722674 179.661154846
8023402340.234023 -16.399738536943826 174.563433802
8023602360.236024 -16.32110735095005 168.431834802
8023802380.238024 -16.359182353971356 162.97617588
8024002400.240024 -16.28287232836341 157.611908039
8024202420.242024 -16.223339977236257 152.466521332
8024402440.244024 -16.198463567273183 147.931941702
8024602460.246024 -16.143226469121732 142.594040793
8024802480.248025 -16.204913553553467 136.70269913
8025002500.250025 -16.11990935808803 131.448498977
8025202520.252026 -16.101284383415354 125.899364062
8025402540.254025 -16.061658915679498 120.722062608
8025602560.256025 -16.072287180041393 115.334335221
8025802580.258026 -16.011422549986378 110.103264404
8026002600.260026 -16.008676905083988 103.903660762
8026202620.262026 -15.955273152684788 98.7191592193
8026402640.264027 -15.970865204984282 93.7806868883
8026602660.2660265 -15.918026715195019 88.4888338122
8026802680.268026 -15.83481767973196 83.0935297262
8027002700.270027 -15.828144598121694 77.712062781
8027202720.272027 -15.738089905816208 71.9249581416
8027402740.274028 -15.740682369441961 67.274452871
8027602760.276028 -15.727373549654724 61.6664046537
8027802780.278028 -15.730641847010308 56.4282895236
8028002800.280028 -15.708043203130249 50.640345998
8028202820.282028 -15.644256154369822 45.5177847172
8028402840.284028 -15.605535777106015 39.797528732
8028602860.286029 -15.571492537354956 35.1547431585
8028802880.288029 -15.533316328351903 29.3989554065
8029002900.290029 -15.481860442460057 25.0152350291
8029202920.292029 -15.500917608236692 18.9870551128
8029402940.294029 -15.491605443076942 12.9359479269
8029602960.29603 -15.497932616828452 7.46363603628
8029802980.29803 -15.42929806131471 2.35239681937
8030003000.30003 -15.385449044600826 -2.79662986817
8030203020.302031 -15.437038771067789 -8.02231021661
8030403040.30403 -15.368890858035247 -13.2278072112
8030603060.30603 -15.370071214295178 -18.5551757144
8030803080.308031 -15.361174138406732 -24.5975586737
8031003100.310031 -15.33791771900101 -29.7341693085
8031203120.312031 -15.296010605964279 -34.0902621812
8031403140.314032 -15.271814675843682 -39.1866981283
8031603160.316031 -15.227954927905996 -45.2709869626
8031803180.318032 -15.23964005390143 -50.3532606612
8032003200.320032 -15.220857823030972 -55.4908210211
8032203220.322032 -15.233837680034188 -60.8929077011
8032403240.324033 -15.20899823052969 -65.6416858784
8032603260.326033 -15.177620759010981 -71.1204299555
8032803280.3280325 -15.168371960099469 -77.091081771
8033003300.330033 -15.162220311308175 -81.5953131478
8033203320.332033 -15.117461516286696 -87.9057132436
8033403340.334033 -15.176855909256998 -92.8650919318
8033603360.336034 -15.116114941666668 -98.0678865343
8033803380.338034 -15.092142875825616 -103.393157829
8034003400.340034 -15.056038869272344 -108.256145034
8034203420.342034 -15.078557098154592 -113.861834405
8034403440.344034 -15.039514932199873 -119.432747299
8034603460.346035 -15.001479592517645 -124.382269738
8034803480.348035 -15.047954902218253 -129.994186115
8035003500.350035 -15.003476485235186 -135.172049979
8035203520.3520355 -15.010758100679611 -140.56919412
8035403540.354035 -14.994467686358865 -145.97015734
8035603560.356035 -14.94719844901413 -151.755188057
8035803580.358036 -15.017496621270755 -156.693980997
8036003600.360036 -14.95494160894945 -161.444953816
8036203620.362036 -14.912201752962385 -166.908586668
8036403640.364037 -14.942258003327783 -172.080274381
8036603660.366036 -14.933480900168124 -177.212413499
8036803680.368037 -14.954170027790802 177.568826712
8037003700.370037 -14.955191226271861 172.759137188
8037203720.372037 -14.9303382046387 166.408215923
8037403740.374038 -14.886058245006007 161.828480108
8037603760.376038 -14.951271188041556 156.326958725
8037803780.378037 -14.874483066494022 151.021331892
8038003800.380038 -14.922000273681359 146.341870832
8038203820.382038 -14.880335946855132 140.965639883
8038403840.384038 -14.873688869799626 135.593833759
8038603860.386039 -14.8587027351514 130.136453666
8038803880.388039 -14.921188680520922 125.482688576
8039003900.390039 -14.848214505750194 119.419592391
8039203920.392039 -14.914303647107472 114.652686046
8039403940.394039 -14.832947139413887 110.169551184
8039603960.39604 -14.864120383848554 104.79761536
8039803980.39804 -14.852638397257092 99.4056553317
8040004000.40004 -14.857524884066688 94.3912155775
8040204020.4020405 -14.894625337403774 89.5249604321
8040404040.40404 -14.839881384976684 83.645029649
8040604060.40604 -14.861175290679531 78.2072567069
8040804080.408041 -14.836442121628199 73.383714506
8041004100.410041 -14.849414567187427 67.9755681306
8041204120.412042 -14.88000934373712 63.0646996818
8041404140.4140415 -14.818722464156275 58.432758358
8041604160.416041 -14.837410728704516 53.3316492241
8041804180.418042 -14.826919138469332 47.4167973008
8042004200.420042 -14.811309789977933 42.9722964903
8042204220.422042 -14.827466149652242 37.3638156112
8042404240.424043 -14.830592247090848 32.4178573468
8042604260.426043 -14.771802240113276 27.5826035683
8042804280.428042 -14.832105253122439 21.932980162
8043004300.430043 -14.805320240086889 17.1660820854
8043204320.432043 -14.774586395393754 12.1437341819
8043404340.434043 -14.788817799500478 7.29131781712
8043604360.436044 -14.836785319895807 1.21823016615
8043804380.438044 -14.810545505622805 -3.51673526361
8044004400.440044 -14.771392281059592 -8.01492464888
8044204420.442044 -14.808290130076628 -13.7109631288
8044404440.444044 -14.816889996007989 -18.5724473033
8044604460.446045 -14.79624028624102 -23.6034626383
8044804480.448045 -14.779053302036399 -29.1040902605
8045004500.450045 -14.804070751343179 -34.3748210312
8045204520.452045 -14.764493663617124 -38.7843033928
8045404540.454045 -14.804771485010932 -43.7668957245
8045604560.456045 -14.789844452164303 -49.8264119315
8045804580.458046 -14.783763064563527 -53.5145034105
8046004600.460046 -14.788153909693172 -59.3430437017
8046204620.462047 -14.776371141569447 -64.3329288666
8046404640.4640465 -14.773634467813155 -69.6359154158
8046604660.466046 -14.761226240876296 -75.0859093693
8046804680.468047 -14.767589247848266 -79.0872676464
8047004700.470047 -14.782951243073715 -84.4747904354
8047204720.472047 -14.780807867597986 -89.8292646719
8047404740.474048 -14.777901226486112 -94.6094984434
8047604760.4760475 -14.78597745595389 -99.847707176
8047804780.478047 -14.77457535524218 -104.879980024
8048004800.480048 -14.802022593564397 -110.453282732
8048204820.482048 -14.762703529150405 -114.973032309
8048404840.484049 -14.75062955184133 -120.751715519
8048604860.486049 -14.794370816990343 -125.191155506
8048804880.488049 -14.783977646122544 -130.303191301
8049004900.490049 -14.759482683959057 -135.750022391
8049204920.492049 -14.779900355309012 -140.748999173
8049404940.494049 -14.788736054120712 -145.333941724
8049604960.49605 -14.777508782320595 -150.499271109
8049804980.49805 -14.74478061736727 -155.629587429
8050005000.50005 -14.823094090341227 -160.326698528
8050205020.50205 -14.774488190148112 -165.1827564
8050405040.50405 -14.823134707350434 -170.388777322
8050605060.506051 -14.763605572161104 -175.713411164
8050805080.508051 -14.809668633921207 178.860214051
8051005100.510051 -14.779079861775024 173.879394405
8051205120.512052 -14.78990353572889 169.094007197
8051405140.514051 -14.836914624310625 164.130282327
8051605160.516051 -14.79910566724847 159.222070376
8051805180.518052 -14.816878108845007 153.797641405
8052005200.520052 -14.821254338793509 149.322159079
8052205220.522052 -14.840043812388418 144.575993975
8052405240.524053 -14.766080478591956 138.83788832
8052605260.526052 -14.805441516585953 133.998305593
8052805280.528052 -14.7998394239323 130.142637333
8053005300.530053 -14.829776045294835 124.549069952
8053205320.532053 -14.842168086371228 119.819991129
8053405340.534054 -14.816009686066584 114.666634652
8053605360.536054 -14.795862621471763 110.16813015
8053805380.5380535 -14.854784514126457 104.89763029
8054005400.540054 -14.828084046492119 99.7073310475
8054205420.542054 -14.84510009631007 94.7515561718
8054405440.544054 -14.874289273415403 89.4939915573
8054605460.546055 -14.843206197082237 84.7474802873
8054805480.548055 -14.796662788633263 79.4054679615
8055005500.550055 -14.794617668009293 74.9309586151
8055205520.552055 -14.82593639419905 69.865434679
8055405540.554055 -14.820641609346662 64.7974917197
8055605560.556056 -14.795149983873582 60.3101845011
8055805580.558056 -14.824724444760069 54.9108560858
8056005600.560056 -14.835244480383148 50.3563900748
8056205620.562057 -14.867516118986162 44.8056083309
8056405640.564056 -14.88227896276307 40.2317505193
8056605660.566056 -14.823626848108347 35.3798734849
8056805680.568057 -14.84563115311058 30.7949376941
8057005700.570057 -14.87819297809204 24.7978544019
8057205720.572057 -14.89462179246855 20.5247203919
8057405740.574058 -14.873046007287286 15.7324706918
8057605760.576057 -14.868442922875625 10.2141378425
8057805780.578058 -14.869392408630016 5.35202529687
8058005800.580058 -14.884561867170365 0.69253805251
8058205820.582058 -14.867860145241236 -4.15661353387
8058405840.584059 -14.925250508180259 -8.38332220335
