"Freq [GHz]","dB(St(2,1)) []"
1,-0.028334598953308
1.00180036007201,-0.02846938352577
1.00360072014403,-0.0286047351854186
1.00540108021604,-0.0287406570029175
1.00720144028806,-0.0288771520709499
1.00900180036007,-0.0290142235044046
1.01080216043209,-0.0291518744405449
1.0126025205041,-0.029290108039173
1.01440288057612,-0.029428927482813
1.01620324064813,-0.0295683359768736
1.01800360072014,-0.0297083367498397
1.01980396079216,-0.0298489330534352
1.02160432086417,-0.0299901281628087
1.02340468093619,-0.0301319253767191
1.0252050410082,-0.0302743280177194
1.02700540108022,-0.0304173394323188
1.02880576115223,-0.0305609629912045
1.03060612122424,-0.0307052020893974
1.03240648129626,-0.0308500601464615
1.03420684136827,-0.0309955406066755
1.03600720144029,-0.0311416469392516
1.0378075615123,-0.0312883826385024
1.03960792158432,-0.0314357512240574
1.04140828165633,-0.0315837562410452
1.04320864172835,-0.0317324012603068
1.04500900180036,-0.0318816898785817
1.04680936187237,-0.0320316257187225
1.04860972194439,-0.0321822124298995
1.0504100820164,-0.0323334536877953
1.05221044208842,-0.0324853531948257
1.05401080216043,-0.0326379146803402
1.05581116223245,-0.0327911419008487
1.05761152230446,-0.0329450386402172
1.05941188237648,-0.0330996087098917
1.06121224244849,-0.0332548559491176
1.0630126025205,-0.0334107842251594
1.06481296259252,-0.0335673974335233
1.06661332266453,-0.0337246994981696
1.06841368273655,-0.0338826943717531
1.07021404280856,-0.0340413860358389
1.07201440288058,-0.0342007785011504
1.07381476295259,-0.0343608758077738
1.0756151230246,-0.034521682025408
1.07741548309662,-0.0346832012536094
1.07921584316863,-0.0348454376220079
1.08101620324065,-0.0350083952905657
1.08281656331266,-0.0351720784498082
1.08461692338468,-0.0353364913210772
1.08641728345669,-0.0355016381567662
1.08821764352871,-0.0356675232405819
1.09001800360072,-0.0358341508877904
1.09181836367273,-0.0360015254454696
1.09361872374475,-0.036169651292764
1.09541908381676,-0.036338532841144
1.09721944388878,-0.036508174534669
1.09901980396079,-0.0366785808502465
1.10082016403281,-0.0368497562979079
1.10262052410482,-0.037021705421053
1.10442088417684,-0.0371944327967446
1.10622124424885,-0.0373679430359679
1.10802160432086,-0.0375422407839119
1.10982196439288,-0.0377173307202409
1.11162232446489,-0.0378932175593804
1.11342268453691,-0.0380699060507975
1.11522304460892,-0.0382474009792828
1.11702340468094,-0.038425707165248
1.11882376475295,-0.0386048294650052
1.12062412482497,-0.0387847727710703
1.12242448489698,-0.0389655420124498
1.12422484496899,-0.0391471421549461
1.12602520504101,-0.0393295782014617
1.12782556511302,-0.0395128551922937
1.12962592518504,-0.0396969782054484
1.13142628525705,-0.0398819523569507
1.13322664532907,-0.0400677828011514
1.13502700540108,-0.040254474731056
1.13682736547309,-0.0404420333786275
1.13862772554511,-0.0406304640151241
1.14042808561712,-0.0408197719514041
1.14222844568914,-0.0410099625382818
1.14402880576115,-0.0412010411668235
1.14582916583317,-0.0413930132687172
1.14762952590518,-0.0415858843165798
1.1494298859772,-0.0417796598243248
1.15123024604921,-0.0419743453474752
1.15303060612122,-0.0421699464835368
1.15483096619324,-0.0423664688723375
1.15663132626525,-0.0425639181963848
1.15843168633727,-0.0427623001812082
1.16023204640928,-0.0429616205957403
1.1620324064813,-0.0431618852526666
1.16383276655331,-0.0433631000087945
1.16563312662533,-0.0435652707654288
1.16743348669734,-0.0437684034687401
1.16923384676935,-0.043972504110145
1.17103420684137,-0.0441775787266894
1.17283456691338,-0.0443836334014254
1.1746349269854,-0.0445906742638038
1.17643528705741,-0.0447987074900774
1.17823564712943,-0.0450077393036783
1.18003600720144,-0.0452177759756235
1.18183636727345,-0.0454288238249288
1.18363672734547,-0.0456408892190063
1.18543708741748,-0.0458539785740713
1.1872374474895,-0.0460680983555746
1.18903780756151,-0.046283255078602
1.19083816763353,-0.0464994553083097
1.19263852770554,-0.0467167056603494
1.19443888777756,-0.0469350128013003
1.19623924784957,-0.0471543834490977
1.19803960792158,-0.0473748243734874
1.1998399679936,-0.0475963423964557
1.20164032806561,-0.0478189443926818
1.20344068813763,-0.0480426372899986
1.20524104820964,-0.0482674280698334
1.20704140828166,-0.0484933237676942
1.20884176835367,-0.0487203314736058
1.21064212842569,-0.0489484583326038
1.2124424884977,-0.0491777115452029
1.21424284856971,-0.0494080983678739
1.21604320864173,-0.0496396261135327
1.21784356871374,-0.0498723021520252
1.21964392878576,-0.0501061339106248
1.22144428885777,-0.0503411288745306
1.22324464892979,-0.0505772945873697
1.2250450090018,-0.05081463865171
1.22684536907381,-0.05105316872957
1.22864572914583,-0.0512928925429418
1.23044608921784,-0.0515338178743114
1.23224644928986,-0.0517759525671903
1.23404680936187,-0.0520193045266477
1.23584716943389,-0.0522638817198572
1.2376475295059,-0.0525096921766262
1.23944788957792,-0.0527567439899726
1.24124824964993,-0.053005045316648
1.24304860972194,-0.0532546043777314
1.24484896979396,-0.0535054294591765
1.24664932986597,-0.0537575289123845
1.24844968993799,-0.0540109111547944
1.25025005001,-0.0542655846704622
1.25205041008202,-0.0545215580106422
1.25385077015403,-0.0547788397943984
1.25565113022605,-0.0550374387091914
1.25745149029806,-0.0552973635115024
1.25925185037007,-0.0555586230274314
1.26105221044209,-0.0558212261533332
1.2628525705141,-0.056085181856424
1.26465293058612,-0.0563504991754421
1.26645329065813,-0.0566171872212588
1.26825365073015,-0.0568852551775425
1.27005401080216,-0.0571547123014038
1.27185437087417,-0.0574255679240586
1.27365473094619,-0.0576978314514894
1.2754550910182,-0.0579715123651191
1.27725545109022,-0.0582466202224944
