"Freq [GHz]","dB(St(2,1)) []"
7,-1.10514837696015
7.00010000500025,-1.10500010269428
7.0002000100005,-1.1048518781888
7.00030001500075,-1.10470370342599
7.000400020001,-1.10455557838811
7.00050002500125,-1.10440750305744
7.0006000300015,-1.10425947741626
7.00070003500175,-1.10411150144688
7.000800040002,-1.10396357513158
7.00090004500225,-1.10381569845268
7.0010000500025,-1.10366787139248
7.00110005500275,-1.10352009393332
7.001200060003,-1.10337236605752
7.00130006500325,-1.10322468774742
7.0014000700035,-1.10307705898536
7.00150007500375,-1.1029294797537
7.001600080004,-1.10278195003479
7.00170008500425,-1.102634469811
7.0018000900045,-1.1024870390647
7.00190009500475,-1.10233965777829
7.002000100005,-1.10219232593414
7.00210010500525,-1.10204504351464
7.0022001100055,-1.10189781050222
7.00230011500575,-1.10175062687926
7.002400120006,-1.10160349262821
7.00250012500625,-1.10145640773148
7.0026001300065,-1.10130937217149
7.00270013500675,-1.10116238593071
7.002800140007,-1.10101544899156
7.00290014500725,-1.10086856133652
7.0030001500075,-1.10072172294803
7.00310015500775,-1.10057493380858
7.003200160008,-1.10042819390063
7.00330016500825,-1.10028150320668
7.0034001700085,-1.10013486170921
7.00350017500875,-1.09998826939072
7.003600180009,-1.09984172623373
7.00370018500925,-1.09969523222075
7.0038001900095,-1.09954878733429
7.00390019500975,-1.09940239155689
7.00400020001,-1.09925604487108
7.00410020501025,-1.09910974725941
7.0042002100105,-1.09896349870443
7.00430021501075,-1.09881729918869
7.004400220011,-1.09867114869476
7.00450022501125,-1.09852504720522
7.0046002300115,-1.09837899470264
7.00470023501175,-1.09823299116962
7.004800240012,-1.09808703658874
7.00490024501225,-1.09794113094261
7.0050002500125,-1.09779527421384
7.00510025501275,-1.09764946638505
7.005200260013,-1.09750370743886
7.00530026501325,-1.0973579973579
7.0054002700135,-1.0972123361248
7.00550027501375,-1.09706672372223
7.005600280014,-1.09692116013282
7.00570028501425,-1.09677564533925
7.0058002900145,-1.09663017932417
7.00590029501475,-1.09648476207027
7.006000300015,-1.09633939356022
7.00610030501525,-1.09619407377672
7.0062003100155,-1.09604880270246
7.00630031501575,-1.09590358032015
7.006400320016,-1.09575840661249
7.00650032501625,-1.09561328156221
7.0066003300165,-1.09546820515204
7.00670033501675,-1.09532317736471
7.006800340017,-1.09517819818295
7.00690034501725,-1.09503326758952
7.0070003500175,-1.09488838556716
7.00710035501775,-1.09474355209866
7.007200360018,-1.09459876716676
7.00730036501825,-1.09445403075425
7.0074003700185,-1.09430934284392
7.00750037501875,-1.09416470341854
7.007600380019,-1.09402011246094
7.00770038501925,-1.0938755699539
7.0078003900195,-1.09373107588025
7.00790039501975,-1.09358663022279
7.00800040002,-1.09344223296437
7.00810040502025,-1.09329788408781
7.0082004100205,-1.09315358357595
7.00830041502075,-1.09300933141166
7.008400420021,-1.09286512757777
7.00850042502125,-1.09272097205716
7.0086004300215,-1.0925768648327
7.00870043502175,-1.09243280588725
7.008800440022,-1.09228879520372
7.00890044502225,-1.09214483276499
7.0090004500225,-1.09200091855396
7.00910045502275,-1.09185705255353
7.009200460023,-1.09171323474663
7.00930046502325,-1.09156946511617
7.0094004700235,-1.09142574364508
7.00950047502375,-1.0912820703163
7.009600480024,-1.09113844511276
7.00970048502425,-1.09099486801742
7.0098004900245,-1.09085133901324
7.00990049502475,-1.09070785808317
7.010000500025,-1.0905644252102
7.01010050502525,-1.09042104037729
7.0102005100255,-1.09027770356744
7.01030051502575,-1.09013441476363
7.010400520026,-1.08999117394887
7.01050052502625,-1.08984798110616
7.0106005300265,-1.08970483621853
7.01070053502675,-1.08956173926897
7.010800540027,-1.08941869024054
7.01090054502725,-1.08927568911626
7.0110005500275,-1.08913273587918
7.01110055502775,-1.08898983051234
7.011200560028,-1.0888469729988
7.01130056502825,-1.08870416332162
7.0114005700285,-1.08856140146389
7.01150057502875,-1.08841868740867
7.011600580029,-1.08827602113904
7.01170058502925,-1.08813340263812
7.0118005900295,-1.08799083188898
7.01190059502975,-1.08784830887475
7.01200060003,-1.08770583357852
7.01210060503025,-1.08756340598343
7.0122006100305,-1.08742102607261
7.01230061503075,-1.08727869382918
7.012400620031,-1.08713640923629
7.01250062503125,-1.08699417227708
7.0126006300315,-1.08685198293473
7.01270063503175,-1.08670984119238
7.012800640032,-1.0865677470332
7.01290064503225,-1.08642570044039
7.0130006500325,-1.08628370139711
7.01310065503275,-1.08614174988656
7.013200660033,-1.08599984589195
7.01330066503325,-1.08585798939647
7.0134006700335,-1.08571618038335
7.01350067503375,-1.08557441883579
7.013600680034,-1.08543270473703
7.01370068503425,-1.0852910380703
7.0138006900345,-1.08514941881884
7.01390069503475,-1.0850078469659
7.014000700035,-1.08486632249473
7.01410070503525,-1.0847248453886
7.0142007100355,-1.08458341563078
7.01430071503575,-1.08444203320454
7.014400720036,-1.08430069809316
7.01450072503625,-1.08415941027995
7.0146007300365,-1.08401816974818
7.01470073503675,-1.08387697648117
7.014800740037,-1.08373583046223
7.01490074503725,-1.08359473167468
7.0150007500375,-1.08345368010184
7.01510075503775,-1.08331267572705
7.015200760038,-1.08317171853364
7.01530076503825,-1.08303080850496
7.0154007700385,-1.08288994562436
7.01550077503875,-1.08274912987521
7.015600780039,-1.08260836124088
7.01570078503925,-1.08246763970472
7.0158007900395,-1.08232696525014
7.01590079503975,-1.08218633786051
7.01600080004,-1.08204575751924
7.01610080504025,-1.08190522420972
7.0162008100405,-1.08176473791536
7.01630081504075,-1.08162429861958
7.016400820041,-1.0814839063058
7.01650082504125,-1.08134356095746
7.0166008300415,-1.08120326255798
7.01670083504175,-1.08106301109082
7.016800840042,-1.08092280653943
7.01690084504225,-1.08078264888726
7.0170008500425,-1.08064253811778
7.01710085504275,-1.08050247421445
7.017200860043,-1.08036245716077
7.01730086504325,-1.08022248694021
7.0174008700435,-1.08008256353627
7.01750087504375,-1.07994268693245
7.017600880044,-1.07980285711225
7.01770088504425,-1.07966307405919
7.0178008900445,-1.07952333775679
7.01790089504475,-1.07938364818857
7.018000900045,-1.07924400533807
7.01810090504525,-1.07910440918884
7.0182009100455,-1.07896485972442
7.01830091504575,-1.07882535692836
7.018400920046,-1.07868590078422
7.01850092504625,-1.07854649127559
7.0186009300465,-1.07840712838602
7.01870093504675,-1.07826781209911
7.018800940047,-1.07812854239845
7.01890094504725,-1.07798931926762
7.0190009500475,-1.07785014269024
7.01910095504775,-1.07771101264991
7.019200960048,-1.07757192913026
7.01930096504825,-1.0774328921149
7.0194009700485,-1.07729390158746
7.01950097504875,-1.0771549575316
7.019600980049,-1.07701605993094
7.01970098504925,-1.07687720876914
7.0198009900495,-1.07673840402987
7.01990099504975,-1.07659964569678
7.02000100005,-1.07646093375354
7.02010100505025,-1.07632226818385
7.0202010100505,-1.07618364897137
7.02030101505075,-1.07604507609982
7.020401020051,-1.07590654955287
7.02050102505125,-1.07576806931425
7.0206010300515,-1.07562963536766
7.02070103505175,-1.07549124769683
7.020801040052,-1.07535290628549
7.02090104505225,-1.07521461111735
7.0210010500525,-1.07507636217618
7.02110105505275,-1.07493815944571
7.021201060053,-1.0748000029097
7.02130106505325,-1.07466189255191
7.0214010700535,-1.07452382835611
7.02150107505375,-1.07438581030607
7.021601080054,-1.07424783838558
7.02170108505425,-1.07410991257842
7.0218010900545,-1.07397203286839
7.02190109505475,-1.0738341992393
7.022001100055,-1.07369641167494
7.02210110505525,-1.07355867015914
7.0222011100555,-1.07342097467572
7.02230111505575,-1.0732833252085
7.022401120056,-1.07314572174134
7.02250112505625,-1.07300816425805
7.0226011300565,-1.07287065274251
7.02270113505675,-1.07273318717856
7.022801140057,-1.07259576755007
7.02290114505725,-1.07245839384091
7.0230011500575,-1.07232106603494
7.02310115505775,-1.07218378411607
7.023201160058,-1.07204654806818
7.02330116505825,-1.07190935787516
7.0234011700585,-1.07177221352092
7.02350117505875,-1.07163511498938
7.023601180059,-1.07149806226444
7.02370118505925,-1.07136105533004
7.0238011900595,-1.07122409417009
7.02390119505975,-1.07108717876856
7.02400120006,-1.07095030910936
7.02410120506025,-1.07081348517647
7.0242012100605,-1.07067670695383
7.02430121506075,-1.07053997442541
7.024401220061,-1.07040328757518
7.02450122506125,-1.07026664638713
7.0246012300615,-1.07013005084523
7.02470123506175,-1.06999350093348
7.024801240062,-1.06985699663587
7.02490124506225,-1.06972053793641
7.0250012500625,-1.06958412481912
7.02510125506275,-1.06944775726801
7.025201260063,-1.06931143526711
7.02530126506325,-1.06917515880045
7.0254012700635,-1.06903892785207
7.02550127506375,-1.06890274240601
7.025601280064,-1.06876660244632
7.02570128506425,-1.06863050795707
7.0258012900645,-1.06849445892233
7.02590129506475,-1.06835845532615
7.026001300065,-1.06822249715263
7.02610130506525,-1.06808658438585
7.0262013100655,-1.0679507170099
7.02630131506575,-1.06781489500888
7.026401320066,-1.06767911836689
7.02650132506625,-1.06754338706805
7.0266013300665,-1.06740770109648
7.02670133506675,-1.06727206043631
7.026801340067,-1.06713646507166
7.02690134506725,-1.06700091498667
7.0270013500675,-1.0668654101655
7.02710135506775,-1.06672995059229
7.027201360068,-1.0665945362512
7.02730136506825,-1.06645916712641
7.0274013700685,-1.06632384320207
7.02750137506875,-1.06618856446237
7.027601380069,-1.06605333089151
7.02770138506925,-1.06591814247366
7.0278013900695,-1.06578299919303
7.02790139506975,-1.06564790103382
7.02800140007,-1.06551284798025
7.02810140507025,-1.06537784001654
7.0282014100705,-1.0652428771269
7.02830141507075,-1.06510795929558
7.028401420071,-1.06497308650682
7.02850142507125,-1.06483825874485
7.0286014300715,-1.06470347599394
7.02870143507175,-1.06456873823833
7.028801440072,-1.0644340454623
7.02890144507225,-1.06429939765012
7.0290014500725,-1.06416479478606
7.02910145507275,-1.06403023685441
7.029201460073,-1.06389572383947
7.02930146507325,-1.06376125572553
