Freq [GHz];S11;Z
5.0815;-6.76E-05;5.00E+01
5.082;-6.76E-05;5.00E+01
5.0825;-6.76E-05;5.00E+01
5.083;-6.76E-05;5.00E+01
5.0835;-6.76E-05;5.00E+01
5.084;-6.76E-05;5.00E+01
5.0845;-6.77E-05;5.00E+01
5.085;-6.77E-05;5.00E+01
5.0855;-6.77E-05;5.00E+01
5.086;-6.77E-05;5.00E+01
5.0865;-6.77E-05;5.00E+01
5.087;-6.77E-05;5.00E+01
5.0875;-6.77E-05;5.00E+01
5.088;-6.77E-05;5.00E+01
5.0885;-6.77E-05;5.00E+01
5.089;-6.78E-05;5.00E+01
5.0895;-6.78E-05;5.00E+01
5.09;-6.78E-05;5.00E+01
5.0905;-6.78E-05;5.00E+01
5.091;-6.78E-05;5.00E+01
5.0915;-6.78E-05;5.00E+01
5.092;-6.78E-05;5.00E+01
5.0925;-6.78E-05;5.00E+01
5.093;-6.79E-05;5.00E+01
5.0935;-6.79E-05;5.00E+01
5.094;-6.79E-05;5.00E+01
5.0945;-6.79E-05;5.00E+01
5.095;-6.79E-05;5.00E+01
5.0955;-6.79E-05;5.00E+01
5.096;-6.79E-05;5.00E+01
5.0965;-6.79E-05;5.00E+01
5.097;-6.80E-05;5.00E+01
5.0975;-6.80E-05;5.00E+01
5.098;-6.80E-05;5.00E+01
5.0985;-6.80E-05;5.00E+01
5.099;-6.80E-05;5.00E+01
5.0995;-6.80E-05;5.00E+01
5.1;-6.80E-05;5.00E+01
5.1005;-6.80E-05;5.00E+01
5.101;-6.81E-05;5.00E+01
5.1015;-6.81E-05;5.00E+01
5.102;-6.81E-05;5.00E+01
5.1025;-6.81E-05;5.00E+01
5.103;-6.81E-05;5.00E+01
5.1035;-6.81E-05;5.00E+01
5.104;-6.81E-05;5.00E+01
5.1045;-6.81E-05;5.00E+01
5.105;-6.82E-05;5.00E+01
5.1055;-6.82E-05;5.00E+01
5.106;-6.82E-05;5.00E+01
5.1065;-6.82E-05;5.00E+01
5.107;-6.82E-05;5.00E+01
5.1075;-6.82E-05;5.00E+01
5.108;-6.82E-05;5.00E+01
5.1085;-6.82E-05;5.00E+01
5.109;-6.83E-05;5.00E+01
5.1095;-6.83E-05;5.00E+01
5.11;-6.83E-05;5.00E+01
5.1105;-6.83E-05;5.00E+01
5.111;-6.83E-05;5.00E+01
5.1115;-6.83E-05;5.00E+01
5.112;-6.83E-05;5.00E+01
5.1125;-6.83E-05;5.00E+01
5.113;-6.83E-05;5.00E+01
5.1135;-6.84E-05;5.00E+01
5.114;-6.84E-05;5.00E+01
5.1145;-6.84E-05;5.00E+01
5.115;-6.84E-05;5.00E+01
5.1155;-6.84E-05;5.00E+01
5.116;-6.84E-05;5.00E+01
5.1165;-6.84E-05;5.00E+01
5.117;-6.84E-05;5.00E+01
5.1175;-6.85E-05;5.00E+01
5.118;-6.85E-05;5.00E+01
5.1185;-6.85E-05;5.00E+01
5.119;-6.85E-05;5.00E+01
5.1195;-6.85E-05;5.00E+01
5.12;-6.85E-05;5.00E+01
5.1205;-6.85E-05;5.00E+01
5.121;-6.85E-05;5.00E+01
5.1215;-6.86E-05;5.00E+01
5.122;-6.86E-05;5.00E+01
5.1225;-6.86E-05;5.00E+01
5.123;-6.86E-05;5.00E+01
5.1235;-6.86E-05;5.00E+01
5.124;-6.86E-05;5.00E+01
5.1245;-6.86E-05;5.00E+01
5.125;-6.86E-05;5.00E+01
5.1255;-6.87E-05;5.00E+01
5.126;-6.87E-05;5.00E+01
5.1265;-6.87E-05;5.00E+01
5.127;-6.87E-05;5.00E+01
5.1275;-6.87E-05;5.00E+01
5.128;-6.87E-05;5.00E+01
5.1285;-6.87E-05;5.00E+01
5.129;-6.87E-05;5.00E+01
5.1295;-6.87E-05;5.00E+01
5.13;-6.88E-05;5.00E+01
5.1305;-6.88E-05;5.00E+01
5.131;-6.88E-05;5.00E+01
5.1315;-6.88E-05;5.00E+01
5.132;-6.88E-05;5.00E+01
5.1325;-6.88E-05;5.00E+01
5.133;-6.88E-05;5.00E+01
5.1335;-6.88E-05;5.00E+01
5.134;-6.89E-05;5.00E+01
5.1345;-6.89E-05;5.00E+01
5.135;-6.89E-05;5.00E+01
5.1355;-6.89E-05;5.00E+01
5.136;-6.89E-05;5.00E+01
5.1365;-6.89E-05;5.00E+01
5.137;-6.89E-05;5.00E+01
5.1375;-6.89E-05;5.00E+01
5.138;-6.90E-05;5.00E+01
5.1385;-6.90E-05;5.00E+01
5.139;-6.90E-05;5.00E+01
5.1395;-6.90E-05;5.00E+01
5.14;-6.90E-05;5.00E+01
5.1405;-6.90E-05;5.00E+01
5.141;-6.90E-05;5.00E+01
5.1415;-6.90E-05;5.00E+01
5.142;-6.91E-05;5.00E+01
5.1425;-6.91E-05;5.00E+01
5.143;-6.91E-05;5.00E+01
5.1435;-6.91E-05;5.00E+01
5.144;-6.91E-05;5.00E+01
5.1445;-6.91E-05;5.00E+01
5.145;-6.91E-05;5.00E+01
5.1455;-6.91E-05;5.00E+01
5.146;-6.91E-05;5.00E+01
5.1465;-6.92E-05;5.00E+01
5.147;-6.92E-05;5.00E+01
5.1475;-6.92E-05;5.00E+01
5.148;-6.92E-05;5.00E+01
5.1485;-6.92E-05;5.00E+01
5.149;-6.92E-05;5.00E+01
5.1495;-6.92E-05;5.00E+01
5.15;-6.92E-05;5.00E+01
5.1505;-6.93E-05;5.00E+01
5.151;-6.93E-05;5.00E+01
5.1515;-6.93E-05;5.00E+01
5.152;-6.93E-05;5.00E+01
5.1525;-6.93E-05;5.00E+01
5.153;-6.93E-05;5.00E+01
5.1535;-6.93E-05;5.00E+01
5.154;-6.93E-05;5.00E+01
5.1545;-6.94E-05;5.00E+01
5.155;-6.94E-05;5.00E+01
5.1555;-6.94E-05;5.00E+01
5.156;-6.94E-05;5.00E+01
5.1565;-6.94E-05;5.00E+01
5.157;-6.94E-05;5.00E+01
5.1575;-6.94E-05;5.00E+01
5.158;-6.94E-05;5.00E+01
5.1585;-6.95E-05;5.00E+01
5.159;-6.95E-05;5.00E+01
5.1595;-6.95E-05;5.00E+01
5.16;-6.95E-05;5.00E+01
5.1605;-6.95E-05;5.00E+01
5.161;-6.95E-05;5.00E+01
5.1615;-6.95E-05;5.00E+01
5.162;-6.95E-05;5.00E+01
5.1625;-6.95E-05;5.00E+01
5.163;-6.96E-05;5.00E+01
5.1635;-6.96E-05;5.00E+01
5.164;-6.96E-05;5.00E+01
5.1645;-6.96E-05;5.00E+01
5.165;-6.96E-05;5.00E+01
5.1655;-6.96E-05;5.00E+01
5.166;-6.96E-05;5.00E+01
5.1665;-6.96E-05;5.00E+01
5.167;-6.97E-05;5.00E+01
5.1675;-6.97E-05;5.00E+01
5.168;-6.97E-05;5.00E+01
5.1685;-6.97E-05;5.00E+01
5.169;-6.97E-05;5.00E+01
5.1695;-6.97E-05;5.00E+01
5.17;-6.97E-05;5.00E+01
5.1705;-6.97E-05;5.00E+01
5.171;-6.98E-05;5.00E+01
5.1715;-6.98E-05;5.00E+01
5.172;-6.98E-05;5.00E+01
5.1725;-6.98E-05;5.00E+01
5.173;-6.98E-05;5.00E+01
5.1735;-6.98E-05;5.00E+01
5.174;-6.98E-05;5.00E+01
5.1745;-6.98E-05;5.00E+01
5.175;-6.98E-05;5.00E+01
5.1755;-6.99E-05;5.00E+01
5.176;-6.99E-05;5.00E+01
5.1765;-6.99E-05;5.00E+01
5.177;-6.99E-05;5.00E+01
5.1775;-6.99E-05;5.00E+01
5.178;-6.99E-05;5.00E+01
5.1785;-6.99E-05;5.00E+01
5.179;-6.99E-05;5.00E+01
5.1795;-7.00E-05;5.00E+01
5.18;-7.00E-05;5.00E+01
5.1805;-7.00E-05;5.00E+01
5.181;-7.00E-05;5.00E+01
5.1815;-7.00E-05;5.00E+01
5.182;-7.00E-05;5.00E+01
5.1825;-7.00E-05;5.00E+01
5.183;-7.00E-05;5.00E+01
5.1835;-7.00E-05;5.00E+01
5.184;-7.01E-05;5.00E+01
5.1845;-7.01E-05;5.00E+01
5.185;-7.01E-05;5.00E+01
5.1855;-7.01E-05;5.00E+01
5.186;-7.01E-05;5.00E+01
5.1865;-7.01E-05;5.00E+01
5.187;-7.01E-05;5.00E+01
5.1875;-7.01E-05;5.00E+01
5.188;-7.02E-05;5.00E+01
5.1885;-7.02E-05;5.00E+01
5.189;-7.02E-05;5.00E+01
5.1895;-7.02E-05;5.00E+01
5.19;-7.02E-05;5.00E+01
5.1905;-7.02E-05;5.00E+01
5.191;-7.02E-05;5.00E+01
5.1915;-7.02E-05;5.00E+01
5.192;-7.03E-05;5.00E+01
5.1925;-7.03E-05;5.00E+01
5.193;-7.03E-05;5.00E+01
5.1935;-7.03E-05;5.00E+01
5.194;-7.03E-05;5.00E+01
5.1945;-7.03E-05;5.00E+01
5.195;-7.03E-05;5.00E+01
5.1955;-7.03E-05;5.00E+01
5.196;-7.03E-05;5.00E+01
5.1965;-7.04E-05;5.00E+01
5.197;-7.04E-05;5.00E+01
5.1975;-7.04E-05;5.00E+01
5.198;-7.04E-05;5.00E+01
5.1985;-7.04E-05;5.00E+01
5.199;-7.04E-05;5.00E+01
5.1995;-7.04E-05;5.00E+01
5.2;-7.04E-05;5.00E+01
5.2005;-7.05E-05;5.00E+01
5.201;-7.05E-05;5.00E+01
5.2015;-7.05E-05;5.00E+01
5.202;-7.05E-05;5.00E+01
5.2025;-7.05E-05;5.00E+01
5.203;-7.05E-05;5.00E+01
5.2035;-7.05E-05;5.00E+01
5.204;-7.05E-05;5.00E+01
5.2045;-7.05E-05;5.00E+01
5.205;-7.06E-05;5.00E+01
5.2055;-7.06E-05;5.00E+01
5.206;-7.06E-05;5.00E+01
5.2065;-7.06E-05;5.00E+01
5.207;-7.06E-05;5.00E+01
5.2075;-7.06E-05;5.00E+01
5.208;-7.06E-05;5.00E+01
5.2085;-7.06E-05;5.00E+01
5.209;-7.07E-05;5.00E+01
5.2095;-7.07E-05;5.00E+01
5.21;-7.07E-05;5.00E+01
5.2105;-7.07E-05;5.00E+01
5.211;-7.07E-05;5.00E+01
5.2115;-7.07E-05;5.00E+01
5.212;-7.07E-05;5.00E+01
5.2125;-7.07E-05;5.00E+01
5.213;-7.08E-05;5.00E+01
5.2135;-7.08E-05;5.00E+01
5.214;-7.08E-05;5.00E+01
5.2145;-7.08E-05;5.00E+01
5.215;-7.08E-05;5.00E+01
5.2155;-7.08E-05;5.00E+01
5.216;-7.08E-05;5.00E+01
5.2165;-7.08E-05;5.00E+01
5.217;-7.08E-05;5.00E+01
5.2175;-7.09E-05;5.00E+01
5.218;-7.09E-05;5.00E+01
5.2185;-7.09E-05;5.00E+01
5.219;-7.09E-05;5.00E+01
5.2195;-7.09E-05;5.00E+01
5.22;-7.09E-05;5.00E+01
5.2205;-7.09E-05;5.00E+01
5.221;-7.09E-05;5.00E+01
5.2215;-7.10E-05;5.00E+01
5.222;-7.10E-05;5.00E+01
5.2225;-7.10E-05;5.00E+01
5.223;-7.10E-05;5.00E+01
5.2235;-7.10E-05;5.00E+01
5.224;-7.10E-05;5.00E+01
5.2245;-7.10E-05;5.00E+01
5.225;-7.10E-05;5.00E+01
5.2255;-7.10E-05;5.00E+01
5.226;-7.11E-05;5.00E+01
5.2265;-7.11E-05;5.00E+01
5.227;-7.11E-05;5.00E+01
5.2275;-7.11E-05;5.00E+01
5.228;-7.11E-05;5.00E+01
5.2285;-7.11E-05;5.00E+01
5.229;-7.11E-05;5.00E+01
5.2295;-7.11E-05;5.00E+01
5.23;-7.12E-05;5.00E+01
5.2305;-7.12E-05;5.00E+01
5.231;-7.12E-05;5.00E+01
5.2315;-7.12E-05;5.00E+01
5.232;-7.12E-05;5.00E+01
5.2325;-7.12E-05;5.00E+01
5.233;-7.12E-05;5.00E+01
5.2335;-7.12E-05;5.00E+01
5.234;-7.12E-05;5.00E+01
5.2345;-7.13E-05;5.00E+01
5.235;-7.13E-05;5.00E+01
5.2355;-7.13E-05;5.00E+01
5.236;-7.13E-05;5.00E+01
5.2365;-7.13E-05;5.00E+01
5.237;-7.13E-05;5.00E+01
5.2375;-7.13E-05;5.00E+01
5.238;-7.13E-05;5.00E+01
5.2385;-7.14E-05;5.00E+01
5.239;-7.14E-05;5.00E+01
5.2395;-7.14E-05;5.00E+01
5.24;-7.14E-05;5.00E+01
5.2405;-7.14E-05;5.00E+01
5.241;-7.14E-05;5.00E+01
5.2415;-7.14E-05;5.00E+01
5.242;-7.14E-05;5.00E+01
5.2425;-7.14E-05;5.00E+01
5.243;-7.15E-05;5.00E+01
5.2435;-7.15E-05;5.00E+01
5.244;-7.15E-05;5.00E+01
5.2445;-7.15E-05;5.00E+01
5.245;-7.15E-05;5.00E+01
5.2455;-7.15E-05;5.00E+01
5.246;-7.15E-05;5.00E+01
5.2465;-7.15E-05;5.00E+01
5.247;-7.16E-05;5.00E+01
5.2475;-7.16E-05;5.00E+01
5.248;-7.16E-05;5.00E+01
5.2485;-7.16E-05;5.00E+01
5.249;-7.16E-05;5.00E+01
5.2495;-7.16E-05;5.00E+01
5.25;-7.16E-05;5.00E+01
5.2505;-7.16E-05;5.00E+01
5.251;-7.16E-05;5.00E+01
5.2515;-7.17E-05;5.00E+01
5.252;-7.17E-05;5.00E+01
5.2525;-7.17E-05;5.00E+01
5.253;-7.17E-05;5.00E+01
5.2535;-7.17E-05;5.00E+01
5.254;-7.17E-05;5.00E+01
5.2545;-7.17E-05;5.00E+01
5.255;-7.17E-05;5.00E+01
5.2555;-7.18E-05;5.00E+01
5.256;-7.18E-05;5.00E+01
5.2565;-7.18E-05;5.00E+01
5.257;-7.18E-05;5.00E+01
5.2575;-7.18E-05;5.00E+01
5.258;-7.18E-05;5.00E+01
5.2585;-7.18E-05;5.00E+01
5.259;-7.18E-05;5.00E+01
5.2595;-7.18E-05;5.00E+01
5.26;-7.19E-05;5.00E+01
5.2605;-7.19E-05;5.00E+01
5.261;-7.19E-05;5.00E+01
5.2615;-7.19E-05;5.00E+01
5.262;-7.19E-05;5.00E+01
5.2625;-7.19E-05;5.00E+01
5.263;-7.19E-05;5.00E+01
5.2635;-7.19E-05;5.00E+01
5.264;-7.20E-05;5.00E+01
5.2645;-7.20E-05;5.00E+01
5.265;-7.20E-05;5.00E+01
5.2655;-7.20E-05;5.00E+01
5.266;-7.20E-05;5.00E+01
5.2665;-7.20E-05;5.00E+01
5.267;-7.20E-05;5.00E+01
5.2675;-7.20E-05;5.00E+01
5.268;-7.20E-05;5.00E+01
5.2685;-7.21E-05;5.00E+01
5.269;-7.21E-05;5.00E+01
5.2695;-7.21E-05;5.00E+01
5.27;-7.21E-05;5.00E+01
5.2705;-7.21E-05;5.00E+01
5.271;-7.21E-05;5.00E+01
5.2715;-7.21E-05;5.00E+01
5.272;-7.21E-05;5.00E+01
5.2725;-7.21E-05;5.00E+01
5.273;-7.22E-05;5.00E+01
5.2735;-7.22E-05;5.00E+01
5.274;-7.22E-05;5.00E+01
5.2745;-7.22E-05;5.00E+01
5.275;-7.22E-05;5.00E+01
5.2755;-7.22E-05;5.00E+01
5.276;-7.22E-05;5.00E+01
5.2765;-7.22E-05;5.00E+01
5.277;-7.23E-05;5.00E+01
5.2775;-7.23E-05;5.00E+01
5.278;-7.23E-05;5.00E+01
5.2785;-7.23E-05;5.00E+01
5.279;-7.23E-05;5.00E+01
5.2795;-7.23E-05;5.00E+01
5.28;-7.23E-05;5.00E+01
5.2805;-7.23E-05;5.00E+01
5.281;-7.23E-05;5.00E+01
5.2815;-7.24E-05;5.00E+01
5.282;-7.24E-05;5.00E+01
5.2825;-7.24E-05;5.00E+01
5.283;-7.24E-05;5.00E+01
5.2835;-7.24E-05;5.00E+01
5.284;-7.24E-05;5.00E+01
5.2845;-7.24E-05;5.00E+01
5.285;-7.24E-05;5.00E+01
5.2855;-7.25E-05;5.00E+01
5.286;-7.25E-05;5.00E+01
5.2865;-7.25E-05;5.00E+01
5.287;-7.25E-05;5.00E+01
5.2875;-7.25E-05;5.00E+01
5.288;-7.25E-05;5.00E+01
5.2885;-7.25E-05;5.00E+01
5.289;-7.25E-05;5.00E+01
5.2895;-7.25E-05;5.00E+01
5.29;-7.26E-05;5.00E+01
5.2905;-7.26E-05;5.00E+01
5.291;-7.26E-05;5.00E+01
5.2915;-7.26E-05;5.00E+01
5.292;-7.26E-05;5.00E+01
5.2925;-7.26E-05;5.00E+01
5.293;-7.26E-05;5.00E+01
5.2935;-7.26E-05;5.00E+01
5.294;-7.26E-05;5.00E+01
5.2945;-7.27E-05;5.00E+01
5.295;-7.27E-05;5.00E+01
5.2955;-7.27E-05;5.00E+01
5.296;-7.27E-05;5.00E+01
5.2965;-7.27E-05;5.00E+01
5.297;-7.27E-05;5.00E+01
5.2975;-7.27E-05;5.00E+01
5.298;-7.27E-05;5.00E+01
5.2985;-7.28E-05;5.00E+01
5.299;-7.28E-05;5.00E+01
5.2995;-7.28E-05;5.00E+01
5.3;-7.28E-05;5.00E+01
5.3005;-7.28E-05;5.00E+01
5.301;-7.28E-05;5.00E+01
5.3015;-7.28E-05;5.00E+01
5.302;-7.28E-05;5.00E+01
5.3025;-7.28E-05;5.00E+01
5.303;-7.29E-05;5.00E+01
5.3035;-7.29E-05;5.00E+01
5.304;-7.29E-05;5.00E+01
5.3045;-7.29E-05;5.00E+01
5.305;-7.29E-05;5.00E+01
5.3055;-7.29E-05;5.00E+01
5.306;-7.29E-05;5.00E+01
5.3065;-7.29E-05;5.00E+01
5.307;-7.29E-05;5.00E+01
5.3075;-7.30E-05;5.00E+01
5.308;-7.30E-05;5.00E+01
5.3085;-7.30E-05;5.00E+01
5.309;-7.30E-05;5.00E+01
5.3095;-7.30E-05;5.00E+01
5.31;-7.30E-05;5.00E+01
5.3105;-7.30E-05;5.00E+01
5.311;-7.30E-05;5.00E+01
5.3115;-7.31E-05;5.00E+01
5.312;-7.31E-05;5.00E+01
5.3125;-7.31E-05;5.00E+01
5.313;-7.31E-05;5.00E+01
5.3135;-7.31E-05;5.00E+01
5.314;-7.31E-05;5.00E+01
5.3145;-7.31E-05;5.00E+01
5.315;-7.31E-05;5.00E+01
5.3155;-7.31E-05;5.00E+01
5.316;-7.32E-05;5.00E+01
5.3165;-7.32E-05;5.00E+01
5.317;-7.32E-05;5.00E+01
5.3175;-7.32E-05;5.00E+01
5.318;-7.32E-05;5.00E+01
5.3185;-7.32E-05;5.00E+01
5.319;-7.32E-05;5.00E+01
5.3195;-7.32E-05;5.00E+01
5.32;-7.32E-05;5.00E+01
5.3205;-7.33E-05;5.00E+01
5.321;-7.33E-05;5.00E+01
5.3215;-7.33E-05;5.00E+01
5.322;-7.33E-05;5.00E+01
5.3225;-7.33E-05;5.00E+01
5.323;-7.33E-05;5.00E+01
5.3235;-7.33E-05;5.00E+01
5.324;-7.33E-05;5.00E+01
5.3245;-7.34E-05;5.00E+01
5.325;-7.34E-05;5.00E+01
5.3255;-7.34E-05;5.00E+01
5.326;-7.34E-05;5.00E+01
5.3265;-7.34E-05;5.00E+01
5.327;-7.34E-05;5.00E+01
5.3275;-7.34E-05;5.00E+01
5.328;-7.34E-05;5.00E+01
5.3285;-7.34E-05;5.00E+01
5.329;-7.35E-05;5.00E+01
5.3295;-7.35E-05;5.00E+01
5.33;-7.35E-05;5.00E+01
5.3305;-7.35E-05;5.00E+01
5.331;-7.35E-05;5.00E+01
5.3315;-7.35E-05;5.00E+01
5.332;-7.35E-05;5.00E+01
5.3325;-7.35E-05;5.00E+01
5.333;-7.35E-05;5.00E+01
5.3335;-7.36E-05;5.00E+01
5.334;-7.36E-05;5.00E+01
5.3345;-7.36E-05;5.00E+01
5.335;-7.36E-05;5.00E+01
5.3355;-7.36E-05;5.00E+01
5.336;-7.36E-05;5.00E+01
5.3365;-7.36E-05;5.00E+01
5.337;-7.36E-05;5.00E+01
5.3375;-7.37E-05;5.00E+01
5.338;-7.37E-05;5.00E+01
5.3385;-7.37E-05;5.00E+01
5.339;-7.37E-05;5.00E+01
5.3395;-7.37E-05;5.00E+01
5.34;-7.37E-05;5.00E+01
5.3405;-7.37E-05;5.00E+01
5.341;-7.37E-05;5.00E+01
5.3415;-7.37E-05;5.00E+01
5.342;-7.38E-05;5.00E+01
5.3425;-7.38E-05;5.00E+01
5.343;-7.38E-05;5.00E+01
5.3435;-7.38E-05;5.00E+01
5.344;-7.38E-05;5.00E+01
5.3445;-7.38E-05;5.00E+01
5.345;-7.38E-05;5.00E+01
5.3455;-7.38E-05;5.00E+01
5.346;-7.38E-05;5.00E+01
5.3465;-7.39E-05;5.00E+01
5.347;-7.39E-05;5.00E+01
5.3475;-7.39E-05;5.00E+01
5.348;-7.39E-05;5.00E+01
5.3485;-7.39E-05;5.00E+01
5.349;-7.39E-05;5.00E+01
5.3495;-7.39E-05;5.00E+01
5.35;-7.39E-05;5.00E+01
5.3505;-7.39E-05;5.00E+01
5.351;-7.40E-05;5.00E+01
5.3515;-7.40E-05;5.00E+01
5.352;-7.40E-05;5.00E+01
5.3525;-7.40E-05;5.00E+01
5.353;-7.40E-05;5.00E+01
5.3535;-7.40E-05;5.00E+01
5.354;-7.40E-05;5.00E+01
5.3545;-7.40E-05;5.00E+01
5.355;-7.41E-05;5.00E+01
5.3555;-7.41E-05;5.00E+01
5.356;-7.41E-05;5.00E+01
5.3565;-7.41E-05;5.00E+01
5.357;-7.41E-05;5.00E+01
5.3575;-7.41E-05;5.00E+01
