"Freq [GHz]","dB(St(p2,p1)) []"
4.07080708070807,-77.4384278733643
4.07140714071407,-77.4354494333366
4.07200720072007,-77.4324707711883
4.07260726072607,-77.4294918867467
4.07320732073207,-77.4265127798394
4.07380738073807,-77.4235334502936
4.07440744074407,-77.4205538979368
4.07500750075007,-77.417574122596
4.07560756075608,-77.4145941240986
4.07620762076208,-77.4116139022719
4.07680768076808,-77.4086334569429
4.07740774077408,-77.4056527879386
4.07800780078008,-77.4026718950863
4.07860786078608,-77.3996907782128
4.07920792079208,-77.3967094371452
4.07980798079808,-77.3937278717103
4.08040804080408,-77.3907460817351
4.08100810081008,-77.3877640670464
4.08160816081608,-77.384781827471
4.08220822082208,-77.3817993628355
4.08280828082808,-77.3788166729668
4.08340834083408,-77.3758337576915
4.08400840084008,-77.3728506168361
4.08460846084608,-77.3698672502273
4.08520852085208,-77.3668836576915
4.08580858085809,-77.3638998390553
4.08640864086409,-77.360915794145
4.08700870087009,-77.3579315227872
4.08760876087609,-77.3549470248081
4.08820882088209,-77.3519623000339
4.08880888088809,-77.348977348291
4.08940894089409,-77.3459921694056
4.09000900090009,-77.3430067632038
4.09060906090609,-77.3400211295118
4.09120912091209,-77.3370352681556
4.09180918091809,-77.3340491789612
4.09240924092409,-77.3310628617546
4.09300930093009,-77.3280763163618
4.09360936093609,-77.3250895426086
4.09420942094209,-77.3221025403209
4.0948094809481,-77.3191153093245
4.09540954095409,-77.3161278494452
4.0960096009601,-77.3131401605085
4.0966096609661,-77.3101522423402
4.0972097209721,-77.307164094766
4.0978097809781,-77.3041757176114
4.0984098409841,-77.3011871107018
4.0990099009901,-77.2981982738629
4.0996099609961,-77.2952092069199
4.1002100210021,-77.2922199096984
4.1008100810081,-77.2892303820235
4.1014101410141,-77.2862406237207
4.1020102010201,-77.2832506346151
4.1026102610261,-77.280260414532
4.1032103210321,-77.2772699632964
4.1038103810381,-77.2742792807336
4.1044104410441,-77.2712883666685
4.10501050105011,-77.2682972209262
4.10561056105611,-77.2653058433316
4.10621062106211,-77.2623142337097
4.10681068106811,-77.2593223918853
4.10741074107411,-77.2563303176832
4.10801080108011,-77.2533380109282
4.10861086108611,-77.2503454714451
4.10921092109211,-77.2473526990585
4.10981098109811,-77.244359693593
4.11041104110411,-77.2413664548733
4.11101110111011,-77.2383729827238
4.11161116111611,-77.235379276969
4.11221122112211,-77.2323853374335
4.11281128112811,-77.2293911639415
4.11341134113411,-77.2263967563175
4.11401140114011,-77.2234021143857
4.11461146114612,-77.2204072379703
4.11521152115212,-77.2174121268957
4.11581158115812,-77.2144167809859
4.11641164116412,-77.2114212000651
4.11701170117012,-77.2084253839572
4.11761176117612,-77.2054293324863
4.11821182118212,-77.2024330454765
4.11881188118812,-77.1994365227515
4.11941194119412,-77.1964397641352
4.12001200120012,-77.1934427694515
4.12061206120612,-77.1904455385241
4.12121212121212,-77.1874480711767
4.12181218121812,-77.1844503672331
4.12241224122412,-77.1814524265168
4.12301230123012,-77.1784542488514
4.12361236123612,-77.1754558340604
4.12421242124212,-77.1724571819673
4.12481248124812,-77.1694582923955
4.12541254125413,-77.1664591651684
4.12601260126013,-77.1634598001093
4.12661266126613,-77.1604601970416
4.12721272127213,-77.1574603557883
4.12781278127813,-77.1544602761728
4.12841284128413,-77.1514599580181
4.12901290129013,-77.1484594011473
4.12961296129613,-77.1454586053834
4.13021302130213,-77.1424575705495
4.13081308130813,-77.1394562964684
4.13141314131413,-77.136454782963
4.13201320132013,-77.1334530298562
4.13261326132613,-77.1304510369707
4.13321332133213,-77.1274488041293
4.13381338133813,-77.1244463311546
4.13441344134413,-77.1214436178693
4.13501350135013,-77.1184406640959
4.13561356135614,-77.115437469657
4.13621362136214,-77.1124340343751
4.13681368136814,-77.1094303580726
4.13741374137414,-77.1064264405718
4.13801380138014,-77.1034222816951
4.13861386138614,-77.1004178812648
4.13921392139214,-77.0974132391031
4.13981398139814,-77.0944083550321
4.14041404140414,-77.091403228874
4.14101410141014,-77.0883978604509
4.14161416141614,-77.0853922495848
4.14221422142214,-77.0823863960976
4.14281428142814,-77.0793802998113
4.14341434143414,-77.0763739605478
4.14401440144014,-77.0733673781288
4.14461446144614,-77.0703605523761
4.14521452145214,-77.0673534831115
4.14581458145815,-77.0643461701565
4.14641464146415,-77.0613386133329
4.14701470147015,-77.0583308124622
4.14761476147615,-77.0553227673658
4.14821482148215,-77.0523144778653
4.14881488148815,-77.049305943782
4.14941494149415,-77.0462971649373
4.15001500150015,-77.0432881411525
4.15061506150615,-77.0402788722488
4.15121512151215,-77.0372693580475
4.15181518151815,-77.0342595983697
4.15241524152415,-77.0312495930364
4.15301530153015,-77.0282393418688
4.15361536153615,-77.0252288446877
4.15421542154215,-77.0222181013142
4.15481548154815,-77.0192071115691
4.15541554155415,-77.0161958752732
4.15601560156016,-77.0131843922473
4.15661566156616,-77.0101726623123
4.15721572157216,-77.0071606852886
4.15781578157816,-77.004148460997
4.15841584158416,-77.0011359892579
4.15901590159016,-76.998123269892
4.15961596159616,-76.9951103027197
4.16021602160216,-76.9920970875613
4.16081608160816,-76.9890836242373
4.16141614161416,-76.9860699125679
4.16201620162016,-76.9830559523734
4.16261626162616,-76.980041743474
4.16321632163216,-76.9770272856898
4.16381638163816,-76.9740125788408
4.16441644164416,-76.9709976227473
4.16501650165017,-76.9679824172289
4.16561656165617,-76.9649669621059
4.16621662166217,-76.9619512571979
4.16681668166817,-76.9589353023249
4.16741674167417,-76.9559190973065
