"Freq [GHz]","mag(Zt(Signal1_3_T1,Signal1_2_T1)) []"
5.092,0.0858538201937028
5.0925,0.08586053127471
5.093,0.0858672465469829
5.0935,0.0858739660119976
5.094,0.0858806896712317
5.0945,0.0858874175261637
5.095,0.0858941495782735
5.0955,0.0859008858290421
5.096,0.0859076262799517
5.0965,0.0859143709324859
5.097,0.0859211197881291
5.0975,0.0859278728483674
5.098,0.0859346301146876
5.0985,0.0859413915885782
5.099,0.0859481572715285
5.0995,0.0859549271650293
5.1,0.0859617012705724
5.1005,0.0859684795896509
5.101,0.0859752621237591
5.1015,0.0859820488743925
5.102,0.0859888398430479
5.1025,0.0859956350312232
5.103,0.0860024344404174
5.1035,0.0860092380721312
5.104,0.0860160459278658
5.1045,0.0860228580091243
5.105,0.0860296743174107
5.1055,0.08603649485423
5.106,0.0860433196210886
5.1065,0.0860501486194946
5.107,0.0860569818509565
5.1075,0.0860638193169847
5.108,0.0860706610190903
5.1085,0.086077506958786
5.109,0.0860843571375855
5.1095,0.0860912115570038
5.11,0.0860980702185573
5.1105,0.0861049331237633
5.111,0.0861118002741405
5.1115,0.0861186716712089
5.112,0.0861255473164896
5.1125,0.0861324272115049
5.113,0.0861393113577786
5.1135,0.0861461997568354
5.114,0.0861530924102014
5.1145,0.0861599893194039
5.115,0.0861668904859715
5.1155,0.0861737959114339
5.116,0.0861807055973221
5.1165,0.0861876195451685
5.117,0.0861945377565066
5.1175,0.0862014602328708
5.118,0.0862083869757975
5.1185,0.0862153179868237
5.119,0.0862222532674878
5.1195,0.0862291928193296
5.12,0.0862361366438901
5.1205,0.0862430847427113
5.121,0.0862500371173369
5.1215,0.0862569937693113
5.122,0.0862639547001805
5.1225,0.0862709199114919
5.123,0.0862778894047937
5.1235,0.0862848631816356
5.124,0.0862918412435686
5.1245,0.0862988235921447
5.125,0.0863058102289176
5.1255,0.0863128011554418
5.126,0.0863197963732733
5.1265,0.0863267958839693
5.127,0.0863337996890883
5.1275,0.0863408077901899
5.128,0.0863478201888351
5.1285,0.0863548368865863
5.129,0.0863618578850067
5.1295,0.0863688831856613
5.13,0.0863759127901159
5.1305,0.086382946699938
5.131,0.0863899849166959
5.1315,0.0863970274419597
5.132,0.0864040742773001
5.1325,0.0864111254242897
5.133,0.0864181808845021
5.1335,0.0864252406595121
5.134,0.0864323047508959
5.1345,0.0864393731602308
5.135,0.0864464458890957
5.1355,0.0864535229390702
5.136,0.086460604311736
5.1365,0.0864676900086752
5.137,0.0864747800314718
5.1375,0.0864818743817109
5.138,0.0864889730609786
5.1385,0.0864960760708627
5.139,0.086503183412952
5.1395,0.0865102950888368
5.14,0.0865174111001083
5.1405,0.0865245314483596
5.141,0.0865316561351844
5.1415,0.0865387851621782
5.142,0.0865459185309374
5.1425,0.0865530562430601
5.143,0.0865601983001452
5.1435,0.0865673447037933
5.144,0.0865744954556062
5.1445,0.0865816505571868
5.145,0.0865888100101394
5.1455,0.0865959738160698
5.146,0.0866031419765846
5.1465,0.0866103144932923
5.147,0.0866174913678021
5.1475,0.0866246726017249
5.148,0.0866318581966729
5.1485,0.0866390481542592
5.149,0.0866462424760988
5.1495,0.0866534411638075
5.15,0.0866606442190025
5.1505,0.0866678516433024
5.151,0.0866750634383271
5.1515,0.086682279605698
5.152,0.0866895001470372
5.1525,0.0866967250639687
5.153,0.0867039543581175
5.1535,0.0867111880311102
5.154,0.0867184260845742
5.1545,0.0867256685201388
5.155,0.0867329153394341
5.1555,0.0867401665440918
5.156,0.0867474221357449
5.1565,0.0867546821160277
5.157,0.0867619464865756
5.1575,0.0867692152490256
5.158,0.0867764884050159
5.1585,0.0867837659561861
5.159,0.0867910479041768
5.1595,0.0867983342506304
5.16,0.0868056249971902
5.1605,0.0868129201455011
5.161,0.0868202196972091
5.1615,0.0868275236539619
5.162,0.086834832017408
5.1625,0.0868421447891975
5.163,0.086849461970982
5.1635,0.086856783564414
5.164,0.0868641095711478
5.1645,0.0868714399928386
5.165,0.0868787748311433
5.1655,0.0868861140877197
5.166,0.0868934577642274
5.1665,0.0869008058623271
5.167,0.0869081583836807
5.1675,0.0869155153299518
5.168,0.086922876702805
5.1685,0.0869302425039064
5.169,0.0869376127349233
5.1695,0.0869449873975245
5.17,0.0869523664933801
5.1705,0.0869597500241614
5.171,0.0869671379915413
5.1715,0.0869745303971938
5.172,0.0869819272427944
5.1725,0.0869893285300198
5.173,0.0869967342605483
5.1735,0.0870041444360592
5.174,0.0870115590582333
5.1745,0.0870189781287528
5.175,0.0870264016493015
5.1755,0.0870338296215638
5.176,0.0870412620472265
5.1765,0.0870486989279766
5.177,0.0870561402655033
5.1775,0.0870635860614968
5.178,0.0870710363176489
5.1785,0.0870784910356525
5.179,0.0870859502172018
5.1795,0.0870934138639928
5.18,0.0871008819777223
5.1805,0.087108354560089
5.181,0.0871158316127925
5.1815,0.087123313137534
5.182,0.0871307991360161
5.1825,0.0871382896099426
5.183,0.0871457845610187
5.1835,0.0871532839909512
5.184,0.0871607879014478
5.1845,0.0871682962942182
5.185,0.087175809170973
5.1855,0.0871833265334242
5.186,0.0871908483832853
5.1865,0.0871983747222712
5.187,0.087205905552098
5.1875,0.0872134408744835
5.188,0.0872209806911465
5.1885,0.0872285250038074
5.189,0.0872360738141879
5.1895,0.0872436271240111
5.19,0.0872511849350015
5.1905,0.087258747248885
5.191,0.0872663140673888
5.1915,0.0872738853922416
5.192,0.0872814612251734
5.1925,0.0872890415679155
5.193,0.0872966264222007
5.1935,0.0873042157897633
5.194,0.0873118096723388
5.1945,0.0873194080716641
5.195,0.0873270109894776
5.1955,0.0873346184275191
5.196,0.0873422303875296
5.1965,0.0873498468712518
5.197,0.0873574678804294
5.1975,0.0873650934168079
5.198,0.087372723482134
5.1985,0.0873803580781557
5.199,0.0873879972066226
5.1995,0.0873956408692854
5.2,0.0874032890678969
5.2005,0.0874109418042104
5.201,0.0874185990799811
5.2015,0.0874262608969656
5.202,0.0874339272569219
5.2025,0.0874415981616091
5.203,0.0874492736127883
5.2035,0.0874569536122212
5.204,0.0874646381616718
5.2045,0.0874723272629049
5.205,0.0874800209176867
5.2055,0.0874877191277854
5.206,0.0874954218949699
5.2065,0.087503129221011
5.207,0.0875108411076808
5.2075,0.0875185575567525
5.208,0.0875262785700013
5.2085,0.0875340041492034
5.209,0.0875417342961363
5.2095,0.0875494690125795
5.21,0.0875572083003134
5.2105,0.0875649521611201
5.211,0.0875727005967829
5.2115,0.0875804536090868
5.212,0.0875882111998178
5.2125,0.087595973370764
5.213,0.0876037401237143
5.2135,0.0876115114604593
5.214,0.087619287382791
5.2145,0.0876270678925029
5.215,0.0876348529913898
5.2155,0.0876426426812481
5.216,0.0876504369638753
5.2165,0.0876582358410709
5.217,0.0876660393146354
5.2175,0.0876738473863707
5.218,0.0876816600580806
5.2185,0.0876894773315698
5.219,0.0876972992086448
5.2195,0.0877051256911133
5.22,0.0877129567807848
5.2205,0.0877207924794697
5.221,0.0877286327889806
5.2215,0.0877364777111308
5.222,0.0877443272477353
5.2225,0.087752181400611
5.223,0.0877600401715755
5.2235,0.0877679035624483
5.224,0.0877757715750505
5.2245,0.0877836442112043
5.225,0.0877915214727334
5.2255,0.0877994033614631
5.226,0.0878072898792202
5.2265,0.0878151810278328
5.227,0.0878230768091306
5.2275,0.0878309772249446
5.228,0.0878388822771072
5.2285,0.0878467919674529
5.229,0.0878547062978167
5.2295,0.0878626252700359
5.23,0.0878705488859488
5.2305,0.0878784771473952
5.231,0.0878864100562165
5.2315,0.0878943476142557
5.232,0.0879022898233568
5.2325,0.0879102366853658
5.233,0.08791818820213
5.2335,0.087926144375498
5.234,0.08793410520732
5.2345,0.0879420706994478
5.235,0.0879500408537346
5.2355,0.0879580156720349
5.236,0.0879659951562049
5.2365,0.087973979308102
5.237,0.0879819681295858
5.2375,0.0879899616225164
5.238,0.0879979597887561
5.2385,0.0880059626301685
5.239,0.0880139701486185
5.2395,0.0880219823459726
5.24,0.0880299992240991
5.2405,0.0880380207848672
5.241,0.0880460470301481
5.2415,0.0880540779618143
5.242,0.0880621135817398
5.2425,0.0880701538918
5.243,0.088078198893872
5.2435,0.0880862485898343
5.244,0.0880943029815669
5.2445,0.0881023620709512
5.245,0.0881104258598703
5.2455,0.0881184943502088
5.246,0.0881265675438525
5.2465,0.088134645442689
5.247,0.0881427280486075
5.2475,0.0881508153634982
5.248,0.0881589073892534
5.2485,0.0881670041277667
5.249,0.088175105580933
5.2495,0.088183211750649
5.25,0.0881913226388127
5.2505,0.0881994382473238
5.251,0.0882075585780834
5.2515,0.0882156836329942
5.252,0.0882238134139603
5.2525,0.0882319479228874
5.253,0.0882400871616829
5.2535,0.0882482311322552
5.254,0.0882563798365148
5.2545,0.0882645332763734
5.255,0.0882726914537444
5.2555,0.0882808543705425
5.256,0.0882890220286843
5.2565,0.0882971944300875
5.257,0.0883053715766716
5.2575,0.0883135534703575
5.258,0.0883217401130679
5.2585,0.0883299315067266
5.259,0.0883381276532593
5.2595,0.0883463285545932
5.26,0.0883545342126567
5.2605,0.0883627446293802
5.261,0.0883709598066953
5.2615,0.0883791797465354
5.262,0.0883874044508352
5.2625,0.0883956339215312
5.263,0.0884038681605612
5.2635,0.0884121071698646
5.264,0.0884203509513826
5.2645,0.0884285995070576
5.265,0.088436852838834
5.2655,0.0884451109486569
5.266,0.088453373838474
5.2665,0.0884616415102338
5.267,0.0884699139658869
5.2675,0.0884781912073849
5.268,0.0884864732366813
5.2685,0.0884947600557312
5.269,0.0885030516664911
5.2695,0.0885113480709193
5.27,0.0885196492709752
5.2705,0.0885279552686201
5.271,0.0885362660658171
5.2715,0.0885445816645303
5.272,0.0885529020667257
5.2725,0.0885612272743709
5.273,0.088569557289435
5.2735,0.0885778921138886
5.274,0.0885862317497041
5.2745,0.0885945761988551
5.275,0.0886029254633172
5.2755,0.0886112795450671
5.276,0.0886196384460836
5.2765,0.0886280021683468
5.277,0.0886363707138383
5.2775,0.0886447440845415
5.278,0.0886531222824412
5.2785,0.0886615053095239
5.279,0.0886698931677777
5.2795,0.0886782858591921
5.28,0.0886866833857585
5.2805,0.0886950857494695
5.281,0.0887034929523197
5.2815,0.0887119049963051
5.282,0.0887203218834231
5.2825,0.0887287436156731
5.283,0.0887371701950558
5.2835,0.0887456016235735
5.284,0.0887540379032303
5.2845,0.0887624790360318
5.285,0.0887709250239851
5.2855,0.088779375869099
5.286,0.0887878315733839
5.2865,0.0887962921388518
5.287,0.0888047575675165
5.2875,0.0888132278613928
5.288,0.0888217030224978
5.2885,0.0888301830528499
5.289,0.0888386679544692
5.2895,0.0888471577293772
5.29,0.0888556523795972
5.2905,0.0888641519071542
5.291,0.0888726563140747
5.2915,0.0888811656023867
5.292,0.08888967977412
5.2925,0.088898198831306
5.293,0.0889067227759777
5.2935,0.0889152516101697
5.294,0.0889237853359182
5.2945,0.088932323955261
5.295,0.0889408674702377
5.2955,0.0889494158828895
5.296,0.0889579691952589
5.2965,0.0889665274093905
5.297,0.0889750905273301
5.2975,0.0889836585511255
5.298,0.0889922314828261
5.2985,0.0890008093244826
5.299,0.0890093920781477
5.2995,0.0890179797458754
5.3,0.0890265723297218
5.3005,0.0890351698317442
5.301,0.0890437722540019
5.3015,0.0890523795985555
5.302,0.0890609918674674
5.3025,0.0890696090628018
5.303,0.0890782311866244
5.3035,0.0890868582410024
5.304,0.0890954902280051
5.3045,0.0891041271497028
5.305,0.0891127690081681
5.3055,0.0891214158054749
5.306,0.0891300675436988
5.3065,0.0891387242249172
5.307,0.089147385851209
5.3075,0.0891560524246547
5.308,0.0891647239473367
5.3085,0.0891734004213389
5.309,0.0891820818487469
5.3095,0.0891907682316481
5.31,0.0891994595721312
5.3105,0.0892081558722869
5.311,0.0892168571342075
5.3115,0.0892255633599871
5.312,0.0892342745517212
5.3125,0.0892429907115069
5.313,0.0892517118414436
5.3135,0.0892604379436314
5.314,0.0892691690201732
5.3145,0.0892779050731727
5.315,0.0892866461047356
5.3155,0.0892953921169693
5.316,0.0893041431119828
5.3165,0.0893128990918871
5.317,0.0893216600587943
5.3175,0.0893304260148188
5.318,0.0893391969620763
5.3185,0.0893479729026842
5.319,0.0893567538387619
5.3195,0.08936553977243
5.32,0.0893743307058113
5.3205,0.08938312664103
5.321,0.0893919275802122
5.3215,0.0894007335254853
5.322,0.089409544478979
5.3225,0.0894183604428242
5.323,0.0894271814191538
5.3235,0.0894360074101022
5.324,0.0894448384178055
5.3245,0.0894536744444018
5.325,0.0894625154920306
5.3255,0.0894713615628332
5.326,0.0894802126589527
5.3265,0.0894890687825339
5.327,0.0894979299357231
5.3275,0.0895067961206687
5.328,0.0895156673395203
5.3285,0.0895245435944297
5.329,0.0895334248875503
5.3295,0.0895423112210371
5.33,0.0895512025970468
5.3305,0.089560099017738
5.331,0.0895690004852708
5.3315,0.0895779070018074
5.332,0.0895868185695113
5.3325,0.0895957351905479
5.333,0.0896046568670845
5.3335,0.0896135836012898
5.334,0.0896225153953347
5.3345,0.0896314522513913
5.335,0.0896403941716337
5.3355,0.0896493411582378
5.336,0.0896582932133814
5.3365,0.0896672503392434
5.337,0.0896762125380051
5.3375,0.0896851798118493
5.338,0.0896941521629605
5.3385,0.0897031295935251
5.339,0.0897121121057309
5.3395,0.0897210997017678
5.34,0.0897300923838276
5.3405,0.0897390901541033
5.341,0.0897480930147901
5.3415,0.0897571009680848
5.342,0.0897661140161859
5.3425,0.0897751321612938
5.343,0.0897841554056106
5.3435,0.08979318375134
5.344,0.0898022172006879
5.3445,0.0898112557558615
5.345,0.0898202994190699
5.3455,0.0898293481925242
5.346,0.0898384020784369
5.3465,0.0898474610790226
5.347,0.0898565251964975
5.3475,0.0898655944330796
5.348,0.0898746687909886
5.3485,0.0898837482724462
5.349,0.0898928328796756
5.3495,0.0899019226149021
5.35,0.0899110174803522
5.3505,0.0899201174782551
5.351,0.0899292226108409
5.3515,0.089938332880342
5.352,0.0899474482889925
5.3525,0.089956568839028
5.353,0.0899656945326863
5.3535,0.0899748253722068
5.354,0.0899839613598306
5.3545,0.0899931024978008
5.355,0.0900022487883622
5.3555,0.0900114002337612
5.356,0.0900205568362465
5.3565,0.0900297185980681
5.357,0.090038885521478
5.3575,0.0900480576087301
5.358,0.0900572348620798
5.3585,0.0900664172837846
5.359,0.0900756048761038
5.3595,0.0900847976412985
5.36,0.0900939955816313
5.3605,0.090103198699367
5.361,0.0901124069967721
5.3615,0.0901216204761148
5.362,0.0901308391396652
5.3625,0.0901400629896952
5.363,0.0901492920284787
5.3635,0.0901585262582911
5.364,0.0901677656814098
5.3645,0.0901770103001141
5.365,0.0901862601166849
5.3655,0.0901955151334052
5.366,0.0902047753525597
5.3665,0.0902140407764348
5.367,0.0902233114073189
5.3675,0.0902325872475023
5.368,0.0902418682992769
5.3685,0.0902511545649366
5.369,0.0902604460467771
5.3695,0.090269742747096
5.37,0.0902790446681927
5.3705,0.0902883518123684
5.371,0.0902976641819261
5.3715,0.0903069817791707
5.372,0.0903163046064093
5.3725,0.0903256326659501
5.373,0.0903349659601039
5.3735,0.0903443044911827
5.374,0.0903536482615011
5.3745,0.0903629972733748
5.375,0.0903723515291217
5.3755,0.0903817110310618
5.376,0.0903910757815165
5.3765,0.0904004457828093
5.377,0.0904098210372656
5.3775,0.0904192015472127
5.378,0.0904285873149795
5.3785,0.090437978342897
5.379,0.090447374633298
5.3795,0.0904567761885172
5.38,0.0904661830108912
5.3805,0.0904755951027584
5.381,0.0904850124664591
5.3815,0.0904944351043354
5.382,0.0905038630187315
5.3825,0.0905132962119934
5.383,0.0905227346864687
5.3835,0.0905321784445073
5.384,0.0905416274884608
5.3845,0.0905510818206827
5.385,0.0905605414435283
5.3855,0.0905700063593547
5.386,0.0905794765705214
5.3865,0.0905889520793892
5.387,0.0905984328883214
5.3875,0.0906079189996825
5.388,0.0906174104158393
5.3885,0.0906269071391606
5.389,0.0906364091720168
5.3895,0.0906459165167804
5.39,0.0906554291758258
5.3905,0.0906649471515294
5.391,0.0906744704462691
5.3915,0.0906839990624251
5.392,0.0906935330023794
5.3925,0.090703072268516
5.393,0.0907126168632206
5.3935,0.090722166788881
5.394,0.0907317220478869
5.3945,0.0907412826426298
5.395,0.0907508485755032
5.3955,0.0907604198489026
5.396,0.0907699964652254
5.3965,0.0907795784268708
5.397,0.09078916573624
5.3975,0.0907987583957362
5.398,0.0908083564077643
5.3985,0.0908179597747315
5.399,0.0908275684990466
5.3995,0.0908371825831208
5.4,0.0908468020293664
5.4005,0.0908564268401985
5.401,0.0908660570180337
5.4015,0.0908756925652906
5.402,0.0908853334843898
5.4025,0.0908949797777539
5.403,0.0909046314478074
5.4035,0.0909142884969765
5.404,0.0909239509276898
5.4045,0.0909336187423775
5.405,0.0909432919434722
5.4055,0.0909529705334076
5.406,0.0909626545146203
5.4065,0.0909723438895484
5.407,0.0909820386606319
5.4075,0.090991738830313
5.408,0.0910014444010357
5.4085,0.091011155375246
5.409,0.091020871755392
5.4095,0.0910305935439235
5.41,0.0910403207432925
5.4105,0.0910500533559531
5.411,0.0910597913843607
5.4115,0.0910695348309736
5.412,0.0910792836982513
5.4125,0.091089037988656
5.413,0.0910987977046512
5.4135,0.0911085628487027
5.414,0.0911183334232783
5.4145,0.0911281094308477
5.415,0.0911378908738828
5.4155,0.0911476777548572
5.416,0.0911574700762465
5.4165,0.0911672678405287
5.417,0.0911770710501834
5.4175,0.0911868797076922
