"Freq [GHz]","dB(St(Signal2_8_T2,Signal2_8_T1)) []"
1,-0.00206293896477953
1.00280056011202,-0.0020745220507343
1.00560112022404,-0.00208613767703291
1.00840168033607,-0.00209778584512831
1.01120224044809,-0.0021094665564468
1.01400280056011,-0.00212117981242856
1.01680336067213,-0.00213292561452958
1.01960392078416,-0.0021447039642014
1.02240448089618,-0.00215651486290559
1.0252050410082,-0.00216835831211757
1.02800560112022,-0.0021802343133064
1.03080616123225,-0.00219214286796274
1.03360672134427,-0.00220408397757472
1.03640728145629,-0.0022160576436347
1.03920784156831,-0.00222806386765374
1.04200840168034,-0.00224010265114425
1.04480896179236,-0.00225217399561516
1.04760952190438,-0.00226427790259504
1.0504100820164,-0.00227641437362732
1.05321064212843,-0.00228858341023748
1.05601120224045,-0.00230078501397741
1.05881176235247,-0.00231301918640324
1.06161232246449,-0.00232528592907437
1.06441288257652,-0.00233758524355731
1.06721344268854,-0.00234991713142958
1.07001400280056,-0.00236228159427002
1.07281456291258,-0.00237467863367714
1.0756151230246,-0.00238710825124405
1.07841568313663,-0.00239957044857677
1.08121624324865,-0.00241206522728265
1.08401680336067,-0.00242459258898968
1.08681736347269,-0.00243715253531947
1.08961792358472,-0.00244974506791041
1.09241848369674,-0.00246237018840127
1.09521904380876,-0.00247502789844757
1.09801960392078,-0.00248771819969944
1.10082016403281,-0.00250044109381896
1.10362072414483,-0.00251319658249076
1.10642128425685,-0.00252598466738829
1.10922184436887,-0.00253880535020369
1.1120224044809,-0.00255165863262273
1.11482296459292,-0.00256454451635566
1.11762352470494,-0.00257746300311987
1.12042408481696,-0.0025904140946177
1.12322464492899,-0.00260339779259623
1.12602520504101,-0.00261641409877397
1.12882576515303,-0.00262946301489683
1.13162632526505,-0.00264254454271592
1.13442688537708,-0.00265565868399526
1.1372274454891,-0.00266880544049444
1.14002800560112,-0.00268198481398787
1.14282856571314,-0.00269519680625614
1.14562912582516,-0.00270844141909084
1.14842968593719,-0.00272171865428585
1.15123024604921,-0.00273502851365474
1.15403080616123,-0.00274837099900564
1.15683136627325,-0.00276174611216348
1.15963192638528,-0.00277515385495647
1.1624324864973,-0.00278859422921896
1.16523304660932,-0.00280206723680596
1.16803360672134,-0.00281557287956319
1.17083416683337,-0.00282911115935509
1.17363472694539,-0.00284268207805035
1.17643528705741,-0.0028562856375296
1.17923584716943,-0.0028699218396777
1.18203640728146,-0.00288359068639726
1.18483696739348,-0.00289729217958067
1.1876375275055,-0.00291102632114095
1.19043808761752,-0.00292479311300018
1.19323864772955,-0.00293859255708467
1.19603920784157,-0.00295242465532691
1.19883976795359,-0.00296628940966941
1.20164032806561,-0.00298018682207148
1.20444088817764,-0.00299411689448312
1.20724144828966,-0.00300807962887212
1.21004200840168,-0.00302207502722109
1.2128425685137,-0.00303610309151303
1.21564312862573,-0.00305016382372555
1.21844368873775,-0.00306425722586844
1.22124424884977,-0.00307838329994227
1.22404480896179,-0.00309254204797109
1.22684536907381,-0.00310673347196393
1.22964592918584,-0.00312095757395433
1.23244648929786,-0.003135214355981
1.23524704940988,-0.00314950382007919
1.2380476095219,-0.00316382596831059
1.24084816963393,-0.00317818080271795
1.24364872974595,-0.00319256832537145
1.24644928985797,-0.00320698853834065
1.24924984996999,-0.00322144144369745
1.25205041008202,-0.00323592704352569
1.25485097019404,-0.00325044533990091
1.25765153030606,-0.00326499633492125
1.26045209041808,-0.00327958003067652
1.26325265053011,-0.00329419642926656
1.26605321064213,-0.00330884553278197
1.26885377075415,-0.00332352734333203
1.27165433086617,-0.00333824186300713
1.2744548909782,-0.00335298909390673
1.27725545109022,-0.00336776903813838
1.28005601120224,-0.0033825816977859
1.28285657131426,-0.00339742707493058
1.28565713142629,-0.00341230517166378
1.28845769153831,-0.00342721599002607
1.29125825165033,-0.00344215953207967
1.29405881176235,-0.00345713579985146
1.29685937187437,-0.00347214479533494
1.2996599319864,-0.00348718652049313
1.30246049209842,-0.0035022609772576
1.30526105221044,-0.00351736816749663
1.30806161232246,-0.00353250809301037
1.31086217243449,-0.00354768075551352
1.31366273254651,-0.00356288615662371
1.31646329265853,-0.00357812429780169
1.31926385277055,-0.00359339518035233
1.32206441288258,-0.00360869880534256
1.3248649729946,-0.00362403517353101
1.32766553310662,-0.00363940428529751
1.33046609321864,-0.00365480614046467
1.33326665333067,-0.00367024073814059
1.33606721344269,-0.00368570807640629
1.33886777355471,-0.00370120815188542
1.34166833366673,-0.00371674095906028
1.34446889377876,-0.00373230648919797
1.34726945389078,-0.00374790472852419
1.3500700140028,-0.00376353565495649
1.35287057411482,-0.00377919923210931
1.35567113422685,-0.00379489539695853
1.35847169433887,-0.00381062403238254
1.36127225445089,-0.00382638489673864
1.36407281456291,-0.00384217740476818
1.36687337467493,-0.00385799969514242
1.36967393478696,-0.00387384105656495
1.37247449489898,-0.00388996275862685
1.375275055011,-0.00390572325710231
1.37807561512302,-0.00392167039674677
1.38087617523505,-0.00393765801704435
1.38367673534707,-0.0039536805811611
1.38647729545909,-0.00396973684843912
1.38927785557111,-0.00398582638588253
1.39207841568314,-0.00400194900394702
1.39487897579516,-0.00401810460734467
1.39767953590718,-0.00403429314356827
1.4004800960192,-0.00405051458186537
1.40328065613123,-0.00406676890346618
1.40608121624325,-0.00408305609666723
1.40888177635527,-0.00409937615417825
1.41168233646729,-0.00411572907152162
1.41448289657932,-0.00413211484614482
1.41728345669134,-0.00414853347681454
1.42008401680336,-0.00416498496323272
1.42288457691538,-0.00418146930578376
1.42568513702741,-0.0041979865053696
