        Frequency / GHz                S2,1/abs,linear
               1.6385277                      0.99738296
               1.6413283                      0.99737208
               1.6441288                      0.99736117
               1.6469294                      0.99735022
               1.6497299                      0.99733924
               1.6525305                      0.99732822
               1.6553311                      0.99731717
               1.6581316                      0.99730608
               1.6609322                      0.99729496
               1.6637327                       0.9972838
               1.6665333                       0.9972726
               1.6693339                      0.99726137
               1.6721344                       0.9972501
                1.674935                       0.9972388
               1.6777355                      0.99722745
               1.6805361                      0.99721607
               1.6833367                      0.99720466
               1.6861372                      0.99719321
               1.6889378                      0.99718171
               1.6917383                      0.99717019
               1.6945389                      0.99715862
               1.6973395                      0.99714702
                 1.70014                      0.99713537
               1.7029406                      0.99712369
               1.7057411                      0.99711198
               1.7085417                      0.99710022
               1.7113423                      0.99708842
               1.7141428                      0.99707659
               1.7169434                      0.99706471
               1.7197439                       0.9970528
               1.7225445                      0.99704085
               1.7253451                      0.99702886
               1.7281456                      0.99701683
               1.7309462                      0.99700475
               1.7337467                      0.99699264
               1.7365473                      0.99698049
               1.7393479                       0.9969683
               1.7421484                      0.99695606
                1.744949                      0.99694379
               1.7477495                      0.99693147
               1.7505501                      0.99691912
               1.7533507                      0.99690672
               1.7561512                      0.99689428
               1.7589518                       0.9968818
               1.7617524                      0.99686927
               1.7645529                      0.99685671
               1.7673535                       0.9968441
                1.770154                      0.99683145
               1.7729546                      0.99681876
               1.7757552                      0.99680602
               1.7785557                      0.99679324
               1.7813563                      0.99678041
               1.7841568                      0.99676755
               1.7869574                      0.99675464
                1.789758                      0.99674168
               1.7925585                      0.99672868
               1.7953591                      0.99671564
               1.7981596                      0.99670255
               1.8009602                      0.99668941
               1.8037608                      0.99667623
               1.8065613                      0.99666301
               1.8093619                      0.99664974
               1.8121624                      0.99663642
                1.814963                      0.99662306
               1.8177636                      0.99660965
               1.8205641                      0.99659619
               1.8233647                      0.99658269
               1.8261652                      0.99656914
               1.8289658                      0.99655555
               1.8317664                       0.9965419
               1.8345669                      0.99652821
               1.8373675                      0.99651447
                1.840168                      0.99650068
               1.8429686                      0.99648684
               1.8457692                      0.99647296
               1.8485697                      0.99645902
               1.8513703                      0.99644504
               1.8541708                        0.996431
               1.8569714                      0.99641692
                1.859772                      0.99640278
               1.8625725                       0.9963886
               1.8653731                      0.99637436
               1.8681736                      0.99636008
               1.8709742                      0.99634574
               1.8737748                      0.99633135
               1.8765753                      0.99631691
               1.8793759                      0.99630242
               1.8821764                      0.99628787
                1.884977                      0.99627328
               1.8877776                      0.99625863
               1.8905781                      0.99624392
               1.8933787                      0.99622916
               1.8961792                      0.99621435
               1.8989798                      0.99619949
               1.9017804                      0.99618457
               1.9045809                      0.99616959
               1.9073815                      0.99615457
                1.910182                      0.99613948
