        Frequency / GHz                S4,3/abs,linear
----------------------------------------------------------------------
                       1                      0.99946205
               1.0028006                      0.99945916
               1.0056011                      0.99945626
               1.0084017                      0.99945335
               1.0112022                      0.99945043
               1.0140028                      0.99944749
               1.0168034                      0.99944454
               1.0196039                      0.99944158
               1.0224045                      0.99943861
                1.025205                      0.99943562
               1.0280056                      0.99943262
               1.0308062                      0.99942961
               1.0336067                      0.99942658
               1.0364073                      0.99942354
               1.0392078                      0.99942049
               1.0420084                      0.99941743
                1.044809                      0.99941435
               1.0476095                      0.99941126
               1.0504101                      0.99940816
               1.0532106                      0.99940504
               1.0560112                      0.99940191
               1.0588118                      0.99939877
               1.0616123                      0.99939561
               1.0644129                      0.99939245
               1.0672134                      0.99938927
                1.070014                      0.99938607
               1.0728146                      0.99938287
               1.0756151                      0.99937965
               1.0784157                      0.99937642
               1.0812162                      0.99937317
               1.0840168                      0.99936992
               1.0868174                      0.99936664
               1.0896179                      0.99936336
               1.0924185                      0.99936006
                1.095219                      0.99935676
               1.0980196                      0.99935343
               1.1008202                       0.9993501
               1.1036207                      0.99934675
               1.1064213                      0.99934339
               1.1092218                      0.99934001
               1.1120224                      0.99933663
                1.114823                      0.99933323
               1.1176235                      0.99932981
               1.1204241                      0.99932639
               1.1232246                      0.99932295
               1.1260252                       0.9993195
               1.1288258                      0.99931603
               1.1316263                      0.99931255
               1.1344269                      0.99930906
               1.1372274                      0.99930556
                1.140028                      0.99930204
               1.1428286                      0.99929851
               1.1456291                      0.99929496
               1.1484297                      0.99929141
               1.1512302                      0.99928784
               1.1540308                      0.99928425
               1.1568314                      0.99928066
               1.1596319                      0.99927705
               1.1624325                      0.99927343
                1.165233                      0.99926979
               1.1680336                      0.99926614
               1.1708342                      0.99926248
               1.1736347                       0.9992588
               1.1764353                      0.99925512
               1.1792358                      0.99925141
               1.1820364                       0.9992477
                1.184837                      0.99924397
               1.1876375                      0.99924023
               1.1904381                      0.99923648
               1.1932386                      0.99923271
               1.1960392                      0.99922893
