        Frequency / GHz                S3,1/abs,dB
----------------------------------------------------------------------
                       1                   -0.0069301272
                1.014014                   -0.0071294172
                1.028028                   -0.0073327907
                1.042042                     -0.00754026
               1.0560561                   -0.0077518375
               1.0700701                   -0.0079675365
               1.0840841                   -0.0081873704
               1.0980981                    -0.008411353
               1.1121121                   -0.0086394987
               1.1261261                   -0.0088718219
               1.1401401                    -0.009108338
               1.1541542                   -0.0093490623
               1.1681682                   -0.0095940109
               1.1821822                   -0.0098432001
               1.1961962                    -0.010096647
               1.2102102                    -0.010354368
               1.2242242                    -0.010616382
               1.2382382                    -0.010882707
               1.2522523                    -0.011153361
               1.2662663                    -0.011428363
               1.2802803                    -0.011707734
               1.2942943                    -0.011991494
               1.3083083                    -0.012279662
               1.3223223                     -0.01257226
               1.3363363                     -0.01286931
               1.3503504                    -0.013170835
               1.3643644                    -0.013476856
               1.3783784                    -0.013787397
               1.3923924                    -0.014102482
               1.4064064                    -0.014422136
               1.4204204                    -0.014746383
               1.4344344                    -0.015075249
               1.4484484                    -0.015408759
               1.4624625                    -0.015746942
               1.4764765                    -0.016089824
               1.4904905                    -0.016437433
               1.5045045                    -0.016789798
               1.5185185                    -0.017146947
               1.5325325                    -0.017508912
               1.5465465                    -0.017875723
               1.5605606                     -0.01824741
               1.5745746                    -0.018624006
               1.5885886                    -0.019005544
               1.6026026                    -0.019392056
               1.6166166                    -0.019783578
               1.6306306                    -0.020180144
               1.6446446                    -0.020581788
               1.6586587                    -0.020988549
               1.6726727                    -0.021400463
               1.6866867                    -0.021817568
               1.7007007                    -0.022239903
               1.7147147                    -0.022667508
               1.7287287                    -0.023100422
               1.7427427                    -0.023538688
               1.7567568                    -0.023982347
               1.7707708                    -0.024431443
               1.7847848                     -0.02488602
               1.7987988                    -0.025346122
               1.8128128                    -0.025811797
               1.8268268                    -0.026283089
               1.8408408                    -0.026760049
               1.8548549                    -0.027242724
               1.8688689                    -0.027731164
               1.8828829                     -0.02822542
               1.8968969                    -0.028725545
               1.9109109                    -0.029231592
               1.9249249                    -0.029743614
               1.9389389                    -0.030261669
                1.952953                    -0.030785811
                1.966967                    -0.031316099
                1.980981                    -0.031852593
                1.994995                    -0.032395351
                2.009009                    -0.032944437
                2.023023                    -0.033499913
                2.037037                    -0.034061842
               2.0510511                    -0.034630292
               2.0650651                    -0.035205328
               2.0790791                    -0.035787019
               2.0930931                    -0.036375436
               2.1071071                    -0.036970649
               2.1211211                    -0.037572732
               2.1351351                    -0.038181758
               2.1491491                    -0.038797805
               2.1631632                    -0.039420949
               2.1771772                    -0.040051271
               2.1911912                    -0.040688851
