        Frequency / GHz                S2,1/abs,dB
               2.4729459                      -3.0146095
                   2.476                      -3.0382241
               2.4809619                       -3.077061
                   2.485                      -3.1091811
                2.488978                      -3.1412973
                   2.494                      -3.1824727
                2.496994                      -3.2072963
                   2.503                      -3.2578884
                 2.50501                       -3.275045
                   2.512                      -3.3355461
               2.5130261                      -3.3445355
                   2.521                      -3.4153831
               2.5210421                      -3.4157616
               2.5290581                      -3.4887679
                    2.53                      -3.4974593
               2.5370741                      -3.5634802
                   2.539                      -3.5816821
               2.5450902                      -3.6398825
                   2.548                      -3.6680355
               2.5531062                      -3.7179409
                   2.557                      -3.7564495
               2.5611222                      -3.7976248
                   2.566                      -3.8468628
               2.5691383                       -3.878961
                   2.575                       -3.939239
               2.5771543                      -3.9616153
                   2.584                      -4.0334267
               2.5851703                      -4.0458069
                   2.593                      -4.1293751
               2.5931864                      -4.1313797
               2.6012024                      -4.2181361
                   2.602                      -4.2267829
               2.6092184                      -4.3062816
                   2.611                      -4.3260103
               2.6172345                      -4.3954384
                    2.62                      -4.4264329
               2.6252505                      -4.4856662
                   2.629                      -4.5282495
               2.6332665                      -4.5766423
                   2.638                      -4.6308734
               2.6412826                      -4.6686467
                   2.647                      -4.7345729
               2.6492986                      -4.7612566
                   2.656                      -4.8394974
               2.6573146                      -4.8548946
                   2.665                      -4.9453287
               2.6653307                      -4.9492407
               2.6733467                      -5.0447344
                   2.674                      -5.0525983
               2.6813627                      -5.1408541
                   2.683                       -5.160745
               2.6893788                       -5.238918
                   2.692                      -5.2714086
               2.6973948                      -5.3390119
                   2.701                      -5.3848607
               2.7054108                      -5.4420508
                    2.71                      -5.5029794
               2.7134269                      -5.5496587
                   2.719                      -5.6285494
               2.7214429                      -5.6642956
                   2.728                      -5.7655098
               2.7294589                      -5.7891525
                   2.737                      -5.9210261
               2.7374749                       -5.929969
                2.745491                       -6.096232
                   2.746                      -6.1079511
                2.753507                      -6.3023075
                   2.755                      -6.3464858
                2.761523                      -6.5650225
                   2.764                      -6.6571844
               2.7695391                       -6.847755
                   2.773                      -6.8782472
               2.7775551                      -6.4952602
                   2.782                      -5.1904453
               2.7855711                      -3.9278696
                   2.791                      -3.3406542
               2.7935872                      -3.4632788
                     2.8                          -3.932
               2.8016032                      -4.0377979
                   2.809                      -4.4212495
               2.8096192                      -4.4465867
               2.8176353                       -4.708009
                   2.818                      -4.7175123
               2.8256513                      -4.8832338
                   2.827                      -4.9069957
               2.8336673                       -5.006755
                   2.836                      -5.0358843
               2.8416834                      -5.0971615
                   2.845                      -5.1275756
               2.8496994                      -5.1651562
                   2.854                      -5.1947675
               2.8577154                      -5.2172731
                   2.863                      -5.2450924
               2.8657315                      -5.2578013
                   2.872                      -5.2833804
               2.8737475                      -5.2897314
                   2.881                      -5.3129342
               2.8817635                      -5.3151219
               2.8897796                      -5.3357642
                    2.89                      -5.3362779
               2.8977956                      -5.3529752
                   2.899                       -5.355333
               2.9058116                      -5.3680999
                   2.908                      -5.3715395
               2.9138277                      -5.3811362
                   2.917                      -5.3861783
               2.9218437                      -5.3937564
                   2.926                      -5.4002496
               2.9298597                       -5.406446
                   2.935                      -5.4148509
               2.9378758                       -5.419554
                   2.944                      -5.4301395
               2.9458918                      -5.4335461
                   2.953                      -5.4473464
               2.9539078                       -5.449201
               2.9619238                      -5.4665603
                   2.962                      -5.4667398
               2.9699399                      -5.4863641
                   2.971                       -5.489158
               2.9779559                      -5.5086365
                    2.98                      -5.5147556
               2.9859719                      -5.5337064
                   2.989                      -5.5439543
                2.993988                      -5.5618395
                   2.998                      -5.5771241
                3.002004                      -5.5931869
                   3.007                      -5.6144709
                 3.01002                      -5.6279388
                   3.016                      -5.6561177
               3.0180361                       -5.666236
                   3.025                       -5.702569
               3.0260521                      -5.7083004
                   3.034                      -5.7536048
               3.0340681                      -5.7540099
               3.0420842                      -5.8035609
                   3.043                      -5.8094598
               3.0501002                      -5.8566715
                   3.052                      -5.8701414
               3.0581162                       -5.914262
                   3.061                      -5.9357967
               3.0661323                       -5.975302
                    3.07                      -6.0060107
               3.0741483                      -6.0398926
                   3.079                      -6.0809454
               3.0821643                      -6.1086876
                   3.088                      -6.1616193
               3.0901804                      -6.1816686
                   3.097                      -6.2462167
               3.0981964                      -6.2578115
                   3.106                      -6.3352206
               3.1062124                      -6.3373698
               3.1142285                      -6.4206429
                   3.115                      -6.4288292
               3.1222445                      -6.5070634
                   3.124                      -6.5264033
               3.1302605                      -6.5966648
                   3.133                      -6.6280314
               3.1382766                      -6.6894208
                   3.142                      -6.7334262
               3.1462926                      -6.7845702
                   3.151                       -6.842243
               3.1543086                      -6.8826767
                    3.16                      -6.9540498
               3.1623246                      -6.9834415
                   3.169                       -7.068727
               3.1703407                      -7.0860129
                   3.178                      -7.1857613
               3.1783567                      -7.1904479
               3.1863727                      -7.2966936
                   3.187                      -7.3050833
               3.1943888                      -7.4033031
                   3.196                      -7.4253234
               3.2024048                      -7.5125303
                   3.205                      -7.5480417
               3.2104208                      -7.6208613
                   3.214                      -7.6701907
               3.2184369                      -7.7308803
                   3.223                      -7.7931769
               3.2264529                      -7.8402587
                   3.232                      -7.9157504
               3.2344689                      -7.9495012
                   3.241                      -8.0375419
                3.242485                      -8.0575163
                    3.25                        -8.15792
                3.250501                      -8.1645677
                3.258517                      -8.2700571
                   3.259                      -8.2766152
               3.2665331                      -8.3734768
                   3.268                      -8.3921481
               3.2745491                      -8.4744194
                   3.277                       -8.504717
               3.2825651                      -8.5724275
                   3.286                      -8.6134357
               3.2905812                       -8.666848
                   3.295                      -8.7174695
               3.2985972                      -8.7575025
                   3.304                      -8.8163546
               3.3066132                      -8.8440153
                   3.313                       -8.909418
               3.3146293                      -8.9255835
                   3.322                      -8.9959334
               3.3226453                      -9.0018683
               3.3306613                      -9.0723844
                   3.331                      -9.0752297
               3.3386774                      -9.1367047
                    3.34                        -9.14669
               3.3466934                      -9.1944169
                   3.349                      -9.2097437
               3.3547094                      -9.2449912
                   3.358                      -9.2635921
               3.3627255                      -9.2880492
                   3.367                      -9.3077865
               3.3707415                      -9.3231707
                   3.376                       -9.341736
               3.3787575                       -9.350013
                   3.385                      -9.3649564
               3.3867735                      -9.3681405
                   3.394                      -9.3769613
               3.3947896                      -9.3774703
               3.4028056                      -9.3775049
                   3.403                      -9.3773863
               3.4108216                      -9.3681757
                   3.412                      -9.3660044
               3.4188377                      -9.3492328
                   3.421                      -9.3421005
               3.4268537                       -9.320592
                    3.43                      -9.3067251
               3.4348697                      -9.2826601
                   3.439                      -9.2593674
               3.4428858                      -9.2351987
                   3.448                      -9.2001099
               3.4509018                      -9.1785784
                   3.457                      -9.1296342
               3.4589178                      -9.1132336
                   3.466                      -9.0486294
