        Frequency / GHz                S8,7/abs,linear
----------------------------------------------------------------------
                       1                      0.99917145
               1.0028006                      0.99916673
               1.0056011                      0.99916199
               1.0084017                      0.99915724
               1.0112022                      0.99915246
               1.0140028                      0.99914767
               1.0168034                      0.99914285
               1.0196039                      0.99913802
               1.0224045                      0.99913317
                1.025205                       0.9991283
               1.0280056                      0.99912341
               1.0308062                       0.9991185
               1.0336067                      0.99911357
               1.0364073                      0.99910863
               1.0392078                      0.99910366
               1.0420084                      0.99909868
                1.044809                      0.99909368
               1.0476095                      0.99908866
               1.0504101                      0.99908362
               1.0532106                      0.99907856
               1.0560112                      0.99907348
               1.0588118                      0.99906839
               1.0616123                      0.99906327
               1.0644129                      0.99905814
               1.0672134                      0.99905299
                1.070014                      0.99904782
               1.0728146                      0.99904263
               1.0756151                      0.99903743
               1.0784157                       0.9990322
               1.0812162                      0.99902696
               1.0840168                      0.99902169
               1.0868174                      0.99901641
               1.0896179                      0.99901111
               1.0924185                       0.9990058
                1.095219                      0.99900046
               1.0980196                      0.99899511
               1.1008202                      0.99898973
               1.1036207                      0.99898434
               1.1064213                      0.99897893
               1.1092218                       0.9989735
               1.1120224                      0.99896806
                1.114823                      0.99896259
               1.1176235                      0.99895711
               1.1204241                      0.99895161
               1.1232246                      0.99894608
               1.1260252                      0.99894055
               1.1288258                      0.99893499
               1.1316263                      0.99892941
               1.1344269                      0.99892382
               1.1372274                      0.99891821
                1.140028                      0.99891258
               1.1428286                      0.99890693
               1.1456291                      0.99890126
               1.1484297                      0.99889558
               1.1512302                      0.99888988
               1.1540308                      0.99888415
               1.1568314                      0.99887842
               1.1596319                      0.99887266
               1.1624325                      0.99886688
                1.165233                      0.99886109
               1.1680336                      0.99885528
               1.1708342                      0.99884945
               1.1736347                       0.9988436
               1.1764353                      0.99883773
               1.1792358                      0.99883185
               1.1820364                      0.99882594
                1.184837                      0.99882002
               1.1876375                      0.99881408
               1.1904381                      0.99880812
               1.1932386                      0.99880215
               1.1960392                      0.99879616
               1.1988398                      0.99879014
               1.2016403                      0.99878411
               1.2044409                      0.99877807
               1.2072414                        0.998772
                1.210042                      0.99876592
               1.2128426                      0.99875982
               1.2156431                       0.9987537
               1.2184437                      0.99874756
               1.2212442                       0.9987414
               1.2240448                      0.99873523
               1.2268454                      0.99872904
               1.2296459                      0.99872283
               1.2324465                       0.9987166
                1.235247                      0.99871035
               1.2380476                      0.99870409
               1.2408482                      0.99869781
               1.2436487                      0.99869151
               1.2464493                      0.99868519
               1.2492498                      0.99867885
               1.2520504                       0.9986725
                1.254851                      0.99866613
               1.2576515                      0.99865974
               1.2604521                      0.99865333
               1.2632527                      0.99864691
               1.2660532                      0.99864046
               1.2688538                        0.998634
               1.2716543                      0.99862752
               1.2744549                      0.99862103
               1.2772555                      0.99861451
                1.280056                      0.99860798
               1.2828566                      0.99860143
               1.2856571                      0.99859486
               1.2884577                      0.99858827
               1.2912583                      0.99858167
               1.2940588                      0.99857505
               1.2968594                      0.99856841
               1.2996599                      0.99856175
               1.3024605                      0.99855507
               1.3052611                      0.99854838
               1.3080616                      0.99854167
               1.3108622                      0.99853494
               1.3136627                      0.99852819
               1.3164633                      0.99852142
               1.3192639                      0.99851464
               1.3220644                      0.99850784
                1.324865                      0.99850102
               1.3276655                      0.99849418
               1.3304661                      0.99848733
               1.3332667                      0.99848046
               1.3360672                      0.99847357
               1.3388678                      0.99846666
               1.3416683                      0.99845973
               1.3444689                      0.99845279
               1.3472695                      0.99844583
                 1.35007                      0.99843885
               1.3528706                      0.99843185
               1.3556711                      0.99842484
               1.3584717                       0.9984178
               1.3612723                      0.99841075
               1.3640728                      0.99840368
               1.3668734                       0.9983966
               1.3696739                      0.99838949
               1.3724745                      0.99838237
               1.3752751                      0.99837523
               1.3780756                      0.99836807
               1.3808762                       0.9983609
               1.3836767                       0.9983537
               1.3864773                      0.99834649
               1.3892779                      0.99833926
               1.3920784                      0.99833202
                1.394879                      0.99832475
               1.3976795                      0.99831747
               1.4004801                      0.99831017
               1.4032807                      0.99830285
               1.4060812                      0.99829551
               1.4088818                      0.99828816
               1.4116823                      0.99828078
               1.4144829                      0.99827339
               1.4172835                      0.99826599
                1.420084                      0.99825856
               1.4228846                      0.99825112
               1.4256851                      0.99824366
               1.4284857                      0.99823618
               1.4312863                      0.99822868
               1.4340868                      0.99822116
               1.4368874                      0.99821363
               1.4396879                      0.99820608
               1.4424885                      0.99819851
               1.4452891                      0.99819092
               1.4480896                      0.99818332
               1.4508902                      0.99817569
               1.4536907                      0.99816805
               1.4564913                      0.99816039
               1.4592919                      0.99815272
               1.4620924                      0.99814502
                1.464893                      0.99813731
               1.4676935                      0.99812958
               1.4704941                      0.99812183
               1.4732947                      0.99811406
               1.4760952                      0.99810628
               1.4788958                      0.99809848
               1.4816963                      0.99809066
               1.4844969                      0.99808282
               1.4872975                      0.99807496
                1.490098                      0.99806709
               1.4928986                      0.99805919
               1.4956991                      0.99805128
               1.4984997                      0.99804335
               1.5013003                      0.99803541
               1.5041008                      0.99802744
               1.5069014                      0.99801946
               1.5097019                      0.99801146
               1.5125025                      0.99800344
               1.5153031                       0.9979954
               1.5181036                      0.99798735
               1.5209042                      0.99797927
               1.5237047                      0.99797118
               1.5265053                      0.99796307
               1.5293059                      0.99795494
               1.5321064                       0.9979468
                1.534907                      0.99793863
               1.5377075                      0.99793045
               1.5405081                      0.99792225
               1.5433087                      0.99791403
               1.5461092                      0.99790579
               1.5489098                      0.99789754
               1.5517103                      0.99788927
               1.5545109                      0.99788097
               1.5573115                      0.99787266
                1.560112                      0.99786434
               1.5629126                      0.99785599
               1.5657131                      0.99784762
               1.5685137                      0.99783924
               1.5713143                      0.99783084
               1.5741148                      0.99782242
               1.5769154                      0.99781398
               1.5797159                      0.99780553
               1.5825165                      0.99779705
               1.5853171                      0.99778856
               1.5881176                      0.99778005
               1.5909182                      0.99777152
               1.5937187                      0.99776297
