        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                       1                    -0.019359631
                1.014014                    -0.019989069
                1.028028                    -0.020634251
                1.042042                      -0.0212956
               1.0560561                    -0.021973567
               1.0700701                    -0.022668629
               1.0840841                    -0.023381295
               1.0980981                    -0.024112102
               1.1121121                    -0.024861626
               1.1261261                    -0.025630476
               1.1401401                    -0.026419299
               1.1541542                    -0.027228785
               1.1681682                    -0.028059666
               1.1821822                    -0.028912719
               1.1961962                    -0.029788773
               1.2102102                    -0.030688708
               1.2242242                    -0.031613463
               1.2382382                    -0.032564033
               1.2522523                    -0.033541482
               1.2662663                    -0.034546939
               1.2802803                     -0.03558161
               1.2942943                     -0.03664678
               1.3083083                    -0.037743817
               1.3223223                    -0.038874182
               1.3363363                    -0.040039434
               1.3503504                    -0.041241238
               1.3643644                    -0.042481371
               1.3783784                    -0.043761735
               1.3923924                    -0.045084362
               1.4064064                    -0.046451427
               1.4204204                    -0.047865258
               1.4344344                    -0.049328351
               1.4484484                     -0.05084338
               1.4624625                    -0.052413213
               1.4764765                    -0.054040932
               1.4904905                    -0.055729844
               1.5045045                    -0.057483507
               1.5185185                    -0.059305748
               1.5325325                    -0.061200688
               1.5465465                    -0.063172766
               1.5605606                    -0.065226773
               1.5745746                    -0.067367876
               1.5885886                    -0.069601662
               1.6026026                    -0.071934169
               1.6166166                    -0.074371935
               1.6306306                     -0.07692204
               1.6446446                    -0.079592167
               1.6586587                    -0.082390653
               1.6726727                     -0.08532656
               1.6866867                    -0.088409745
               1.7007007                    -0.091650945
               1.7147147                    -0.095061867
               1.7287287                     -0.09865529
               1.7427427                     -0.10244518
               1.7567568                     -0.10644682
               1.7707708                     -0.11067696
               1.7847848                     -0.11515396
               1.7987988                       -0.119898
               1.8128128                     -0.12493128
               1.8268268                     -0.13027824
               1.8408408                     -0.13596585
               1.8548549                     -0.14202389
               1.8688689                      -0.1484853
               1.8828829                     -0.15538657
               1.8968969                     -0.16276821
               1.9109109                     -0.17067519
               1.9249249                     -0.17915759
               1.9389389                      -0.1882712
                1.952953                      -0.1980783
                1.966967                     -0.20864853
                1.980981                     -0.22005986
                1.994995                     -0.23239969
                2.009009                     -0.24576621
                2.023023                     -0.26026981
                2.037037                     -0.27603478
               2.0510511                     -0.29320127
               2.0650651                      -0.3119274
               2.0790791                     -0.33239181
               2.0930931                     -0.35479636
               2.1071071                      -0.3793693
               2.1211211                     -0.40636863
               2.1351351                     -0.43608585
               2.1491491                     -0.46884986
               2.1631632                       -0.505031
               2.1771772                     -0.54504491
               2.1911912                      -0.5893559
               2.2052052                      -0.6384792
               2.2192192                     -0.69298122
               2.2332332                     -0.75347658
               2.2472472                     -0.82061997
               2.2612613                     -0.89509034
               2.2752753                     -0.97756389
               2.2892893                      -1.0686715
               2.3033033                      -1.1689354
               2.3173173                      -1.2786785
               2.3313313                      -1.3979027
               2.3453453                       -1.526133
               2.3593594                      -1.6622317
               2.3733734                      -1.8042008
               2.3873874                      -1.9490057
               2.4014014                      -2.0924779
               2.4154154                      -2.2293697
               2.4294294                      -2.3536363
               2.4434434                      -2.4589845
               2.4574575                       -2.539647
               2.4714715                      -2.5912396
               2.4854855                      -2.6114766
               2.4994995                      -2.6005253
               2.5135135                      -2.5608887
               2.5275275                      -2.4968699
               2.5415415                       -2.413807
               2.5555556                      -2.3172982
               2.5695696                      -2.2125866
               2.5835836                      -2.1041757
               2.5975976                      -1.9956639
               2.6116116                      -1.8897442
               2.6256256                      -1.7883018
               2.6396396                       -1.692557
               2.6536537                      -1.6032147
               2.6676677                      -1.5206011
               2.6816817                      -1.4447781
               2.6956957                      -1.3756344
               2.7097097                      -1.3129546
               2.7237237                      -1.2564708
               2.7377377                      -1.2059002
               2.7517518                      -1.1609736
               2.7657658                      -1.1214562
               2.7797798                      -1.0871652
               2.7937938                      -1.0579856
               2.8078078                      -1.0338879
               2.8218218                      -1.0149486
               2.8358358                      -1.0013785
               2.8498498                     -0.99356284
               2.8638639                      -0.9921205
               2.8778779                     -0.99799352
               2.8918919                      -1.0125874
               2.9059059                      -1.0379956
               2.9199199                      -1.0773721
               2.9339339                      -1.1355711
               2.9479479                       -1.220295
                2.961962                      -1.3442602
                2.975976                      -1.5295172
                 2.98999                      -1.8166443
                3.004004                      -2.2856526
                3.018018                      -3.1060579
                3.032032                      -4.6502679
                3.046046                      -7.5169557
               3.0600601                      -9.2819364
               3.0740741                      -5.7174794
               3.0880881                      -3.0927072
               3.1021021                      -1.8304184
               3.1161161                      -1.2093442
               3.1301301                     -0.87903533
               3.1441441                     -0.68940379
               3.1581582                     -0.57320899
               3.1721722                     -0.49807597
               3.1861862                     -0.44728612
               3.2002002                     -0.41165754
               3.2142142                     -0.38587488
               3.2282282                     -0.36672007
               3.2422422                     -0.35216875
               3.2562563                     -0.34090484
               3.2702703                     -0.33204797
               3.2842843                     -0.32499435
               3.2982983                     -0.31932072
               3.3123123                     -0.31472451
               3.3263263                     -0.31098571
               3.3403403                     -0.30794183
               3.3543544                     -0.30547121
               3.3683684                     -0.30348162
               3.3823824                     -0.30190244
               3.3963964                       -0.300679
               3.4104104                     -0.29976871
               3.4244244                     -0.29913814
               3.4384384                      -0.2987609
               3.4524525                     -0.29861615
               3.4664665                     -0.29868737
               3.4804805                      -0.2989615
               3.4944945                     -0.29942829
               3.5085085                     -0.30007978
               3.5225225                     -0.30090988
               3.5365365                     -0.30191409
               3.5505506                     -0.30308924
               3.5645646                     -0.30443335
               3.5785786                     -0.30594542
               3.5925926                     -0.30762534
               3.6066066                     -0.30947382
               3.6206206                     -0.31149232
               3.6346346                     -0.31368296
               3.6486486                     -0.31604853
               3.6626627                      -0.3185924
               3.6766767                      -0.3213186
               3.6906907                     -0.32423169
               3.7047047                     -0.32733685
               3.7187187                     -0.33063984
               3.7327327                     -0.33414701
               3.7467467                     -0.33786532
               3.7607608                     -0.34180235
               3.7747748                     -0.34596632
               3.7887888                     -0.35036612
               3.8028028                     -0.35501134
               3.8168168                     -0.35991231
               3.8308308                     -0.36508011
               3.8448448                     -0.37052663
               3.8588589                     -0.37626461
               3.8728729                      -0.3823077
               3.8868869                     -0.38867051
               3.9009009                     -0.39536864
               3.9149149                     -0.40241879
               3.9289289                     -0.40983877
               3.9429429                     -0.41764765
                3.956957                     -0.42586577
                3.970971                     -0.43451484
                3.984985                     -0.44361807
                3.998999                     -0.45320019
                4.013013                     -0.46328766
                4.027027                     -0.47390867
                4.041041                     -0.48509333
               4.0550551                     -0.49687376
               4.0690691                     -0.50928425
               4.0830831                     -0.52236135
               4.0970971                     -0.53614408
               4.1111111                     -0.55067401
               4.1251251                     -0.56599549
               4.1391391                     -0.58215574
               4.1531532                      -0.5992051
               4.1671672                     -0.61719709
               4.1811812                     -0.63618871
               4.1951952                     -0.65624048
               4.2092092                     -0.67741671
               4.2232232                     -0.69978556
               4.2372372                     -0.72341925
               4.2512513                     -0.74839413
               4.2652653                     -0.77479078
               4.2792793                     -0.80269405
               4.2932933                     -0.83219305
               4.3073073                     -0.86338108
               4.3213213                     -0.89635545
               4.3353353                     -0.93121726
               4.3493493                     -0.96807092
               4.3633634                      -1.0070237
               4.3773774                      -1.0481848
               4.3913914                      -1.0916647
               4.4054054                      -1.1375734
               4.4194194                      -1.1860195
               4.4334334                      -1.2371075
               4.4474474                       -1.290936
               4.4614615                      -1.3475947
               4.4754755                      -1.4071608
               4.4894895                       -1.469695
               4.5035035                      -1.5352372
               4.5175175                      -1.6038007
               4.5315315                      -1.6753667
               4.5455455                      -1.7498772
               4.5595596                      -1.8272283
               4.5735736                      -1.9072625
               4.5875876                      -1.9897608
               4.6016016                      -2.0744356
               4.6156156                      -2.1609234
               4.6296296                      -2.2487794
               4.6436436                      -2.3374734
               4.6576577                      -2.4263882
               4.6716717                      -2.5148218
               4.6856857                       -2.601993
               4.6996997                      -2.6870526
               4.7137137                      -2.7690986
               4.7277277                      -2.8471975
               4.7417417                      -2.9204101
               4.7557558                      -2.9878213
               4.7697698                       -3.048572
               4.7837838                      -3.1018921
               4.7977978                      -3.1471313
               4.8118118                      -3.1837858
               4.8258258                      -3.2115189
               4.8398398                      -3.2301732
               4.8538539                      -3.2397737
               4.8678679                      -3.2405223
