        Frequency / GHz                S6,5/abs,linear
----------------------------------------------------------------------
                       1                      0.99919512
               1.0028006                      0.99919105
               1.0056011                      0.99918696
               1.0084017                      0.99918285
               1.0112022                      0.99917872
               1.0140028                      0.99917457
               1.0168034                       0.9991704
               1.0196039                      0.99916621
               1.0224045                        0.999162
                1.025205                      0.99915777
               1.0280056                      0.99915352
               1.0308062                      0.99914925
               1.0336067                      0.99914495
               1.0364073                      0.99914064
               1.0392078                      0.99913631
               1.0420084                      0.99913196
                1.044809                      0.99912759
               1.0476095                       0.9991232
               1.0504101                      0.99911879
               1.0532106                      0.99911436
               1.0560112                      0.99910991
               1.0588118                      0.99910544
               1.0616123                      0.99910095
               1.0644129                      0.99909644
               1.0672134                      0.99909191
                1.070014                      0.99908736
               1.0728146                      0.99908279
               1.0756151                       0.9990782
               1.0784157                      0.99907359
               1.0812162                      0.99906896
               1.0840168                      0.99906431
               1.0868174                      0.99905964
               1.0896179                      0.99905495
               1.0924185                      0.99905024
                1.095219                      0.99904551
               1.0980196                      0.99904076
               1.1008202                      0.99903599
               1.1036207                       0.9990312
               1.1064213                      0.99902639
               1.1092218                      0.99902156
               1.1120224                      0.99901671
                1.114823                      0.99901184
               1.1176235                      0.99900694
               1.1204241                      0.99900203
               1.1232246                       0.9989971
               1.1260252                      0.99899215
               1.1288258                      0.99898718
               1.1316263                      0.99898218
               1.1344269                      0.99897717
               1.1372274                      0.99897214
                1.140028                      0.99896709
               1.1428286                      0.99896201
               1.1456291                      0.99895692
               1.1484297                      0.99895181
               1.1512302                      0.99894667
               1.1540308                      0.99894152
               1.1568314                      0.99893634
               1.1596319                      0.99893115
               1.1624325                      0.99892593
                1.165233                       0.9989207
               1.1680336                      0.99891544
               1.1708342                      0.99891017
               1.1736347                      0.99890487
               1.1764353                      0.99889955
               1.1792358                      0.99889422
               1.1820364                      0.99888886
                1.184837                      0.99888348
               1.1876375                      0.99887808
               1.1904381                      0.99887266
               1.1932386                      0.99886723
               1.1960392                      0.99886177
               1.1988398                      0.99885629
               1.2016403                      0.99885079
               1.2044409                      0.99884526
               1.2072414                      0.99883972
                1.210042                      0.99883416
               1.2128426                      0.99882858
               1.2156431                      0.99882298
               1.2184437                      0.99881735
               1.2212442                      0.99881171
               1.2240448                      0.99880604
               1.2268454                      0.99880036
               1.2296459                      0.99879465
               1.2324465                      0.99878893
                1.235247                      0.99878318
               1.2380476                      0.99877741
               1.2408482                      0.99877163
               1.2436487                      0.99876582
               1.2464493                      0.99875999
               1.2492498                      0.99875414
               1.2520504                      0.99874827
                1.254851                      0.99874237
               1.2576515                      0.99873646
               1.2604521                      0.99873053
               1.2632527                      0.99872458
               1.2660532                       0.9987186
               1.2688538                      0.99871261
               1.2716543                      0.99870659
               1.2744549                      0.99870055
               1.2772555                      0.99869449
                1.280056                      0.99868842
               1.2828566                      0.99868232
               1.2856571                       0.9986762
               1.2884577                      0.99867005
               1.2912583                      0.99866389
               1.2940588                      0.99865771
               1.2968594                       0.9986515
               1.2996599                      0.99864528
               1.3024605                      0.99863903
               1.3052611                      0.99863276
               1.3080616                      0.99862648
               1.3108622                      0.99862017
               1.3136627                      0.99861384
               1.3164633                      0.99860748
               1.3192639                      0.99860111
               1.3220644                      0.99859472
                1.324865                       0.9985883
               1.3276655                      0.99858187
               1.3304661                      0.99857541
               1.3332667                      0.99856893
               1.3360672                      0.99856243
               1.3388678                      0.99855591
               1.3416683                      0.99854937
               1.3444689                       0.9985428
               1.3472695                      0.99853622
                 1.35007                      0.99852961
               1.3528706                      0.99852298
               1.3556711                      0.99851633
               1.3584717                      0.99850966
               1.3612723                      0.99850297
               1.3640728                      0.99849626
               1.3668734                      0.99848952
               1.3696739                      0.99848277
               1.3724745                      0.99847599
               1.3752751                      0.99846919
               1.3780756                      0.99846237
               1.3808762                      0.99845552
               1.3836767                      0.99844866
               1.3864773                      0.99844177
               1.3892779                      0.99843487
               1.3920784                      0.99842794
                1.394879                      0.99842099
               1.3976795                      0.99841401
               1.4004801                      0.99840702
               1.4032807                          0.9984
               1.4060812                      0.99839296
               1.4088818                       0.9983859
               1.4116823                      0.99837882
               1.4144829                      0.99837172
               1.4172835                      0.99836459
                1.420084                      0.99835744
               1.4228846                      0.99835027
               1.4256851                      0.99834308
               1.4284857                      0.99833587
               1.4312863                      0.99832863
               1.4340868                      0.99832137
               1.4368874                      0.99831409
               1.4396879                      0.99830679
               1.4424885                      0.99829947
               1.4452891                      0.99829212
               1.4480896                      0.99828475
               1.4508902                      0.99827736
               1.4536907                      0.99826994
               1.4564913                      0.99826251
               1.4592919                      0.99825505
               1.4620924                      0.99824757
                1.464893                      0.99824007
               1.4676935                      0.99823254
               1.4704941                      0.99822499
               1.4732947                      0.99821742
               1.4760952                      0.99820983
               1.4788958                      0.99820221
               1.4816963                      0.99819458
               1.4844969                      0.99818691
               1.4872975                      0.99817923
                1.490098                      0.99817152
               1.4928986                      0.99816379
               1.4956991                      0.99815604
               1.4984997                      0.99814827
               1.5013003                      0.99814047
               1.5041008                      0.99813265
               1.5069014                      0.99812481
               1.5097019                      0.99811694
               1.5125025                      0.99810905
               1.5153031                      0.99810114
               1.5181036                       0.9980932
               1.5209042                      0.99808524
               1.5237047                      0.99807726
               1.5265053                      0.99806926
               1.5293059                      0.99806123
               1.5321064                      0.99805318
                1.534907                       0.9980451
               1.5377075                        0.998037
               1.5405081                      0.99802888
               1.5433087                      0.99802074
               1.5461092                      0.99801257
               1.5489098                      0.99800438
               1.5517103                      0.99799616
               1.5545109                      0.99798792
               1.5573115                      0.99797966
                1.560112                      0.99797137
               1.5629126                      0.99796306
               1.5657131                      0.99795473
               1.5685137                      0.99794637
               1.5713143                      0.99793799
               1.5741148                      0.99792959
               1.5769154                      0.99792116
               1.5797159                       0.9979127
               1.5825165                      0.99790423
               1.5853171                      0.99789573
               1.5881176                       0.9978872
               1.5909182                      0.99787865
               1.5937187                      0.99787008
               1.5965193                      0.99786148
               1.5993199                      0.99785286
               1.6021204                      0.99784421
                1.604921                      0.99783554
               1.6077215                      0.99782685
               1.6105221                      0.99781813
               1.6133227                      0.99780939
               1.6161232                      0.99780062
               1.6189238                      0.99779182
               1.6217243                      0.99778301
               1.6245249                      0.99777416
               1.6273255                       0.9977653
                1.630126                      0.99775641
               1.6329266                      0.99774749
               1.6357271                      0.99773855
               1.6385277                      0.99772958
               1.6413283                      0.99772059
               1.6441288                      0.99771157
               1.6469294                      0.99770253
               1.6497299                      0.99769347
               1.6525305                      0.99768437
               1.6553311                      0.99767526
               1.6581316                      0.99766611
               1.6609322                      0.99765695
               1.6637327                      0.99764775
               1.6665333                      0.99763853
               1.6693339                      0.99762929
               1.6721344                      0.99762002
